Spec	FinalStatus	Verdict	BugType	BugFile	BugLine	BugFunc	CWE	Time	Tokens	UniqueBugID	IsDuplicate
getb64_oob_read	BUILD_ERROR	FP			0	bfd_getb64		1	2901		
putb64_oob_write	BUILD_ERROR	FP			0	bfd_putb64		1	2901		
get_bits_varsize_oob_read	BUILD_ERROR	FP			0	bfd_get_bits		1	2901		
put_bits_varsize_oob_write	BUILD_ERROR	FP			0	bfd_put_bits		1	2901		
get_section_contents_oob	BUILD_ERROR	FP			0	bfd_get_section_contents		1	2901		
set_section_contents_oob	BUILD_ERROR	FP			0	bfd_set_section_contents		1	2901		
get_full_section_contents_oob_read	BUILD_ERROR	FP			0	bfd_get_full_section_contents		0	2901		
getb24_oob_read	BUILD_ERROR	FP			0	bfd_getb24		1	2901		
putl24_oob_write	BUILD_ERROR	FP			0	bfd_putl24		1	2901		
sprintf_vma_overflow	BUILD_ERROR	FP			0	bfd_sprintf_vma		1	2901		
scan_vma_unterminated_oob_read	BUILD_ERROR	FP			0	bfd_scan_vma		1	2901		
getl64_oob_read	BUILD_ERROR	FP			0	bfd_getl64		1	2901		
putb32_oob_write	BUILD_ERROR	FP			0	bfd_putb32		1	2901		
getl_signed_32_oob_read	BUILD_ERROR	FP			0	bfd_getl_signed_32		1	2901		
unique_section_name_stack_overflow	BUILD_ERROR	FP			0	bfd_get_unique_section_name		1	2901		
rename_section_overflow	BUILD_ERROR	FP			0	bfd_rename_section		1	2901		
set_section_size_truncation_oob	BUILD_ERROR	FP			0	bfd_set_section_size		1	2901		
hash_insert_divide_by_zero	BUILD_ERROR	FP			0	bfd_hash_insert		0	2901		
demangle_length_overflow	BUILD_ERROR	FP			0	bfd_demangle		1	2901		
fprintf_vma_buffer_overflow	BUILD_ERROR	FP			0	bfd_fprintf_vma		1	2901		
alloc_release_pool_uaf	BUILD_ERROR	FP			0	bfd_release		1	2901		
hash_lookup_strcpy_overflow	BUILD_ERROR	FP			0	bfd_hash_lookup		1	2901		
hash_replace_uaf	BUILD_ERROR	FP			0	bfd_hash_replace		1	2901		
get_section_by_name_null	BUILD_ERROR	FP			0	bfd_get_section_by_name		1	2901		
make_section_anyway_with_flags_overflow	BUILD_ERROR	FP			0	bfd_make_section_anyway_with_flags		1	2901		
bfd_symbol_info_overflow	BUILD_ERROR	FP			0	bfd_symbol_info		1	2901		
bfd_check_format_matches_oob	BUILD_ERROR	FP			0	bfd_check_format_matches		0	2901		
bfd_arch_list_overflow	BUILD_ERROR	FP			0	bfd_arch_list		1	2901		
bfd_emul_get_maxpagesize_divzero	BUILD_ERROR	FP			0	bfd_emul_get_maxpagesize		1	2901		
bfd_check_is_local_label_name	NO_BUG	FP			0	bfd_is_local_label_name		52	2901		
