Spec	FinalStatus	Verdict	BugType	BugFile	BugLine	BugFunc	CWE	Time	Tokens	UniqueBugID	IsDuplicate
palette_neon_intrinsics_74_out-of-bounds-write	FP	NOT_REPRODUCIBLE	out-of-bounds-write	palette_neon_intrinsics.c	74	png_target_do_expand_palette_rgba8_neon	CWE-787	0	0		true
palette_neon_intrinsics_70_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:65	48	png_target_do_expand_palette_rgba8_neon	CWE-125	0	0	BUG-043	
palette_neon_intrinsics_120_out-of-bounds-write	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:45	21	vst3_u8	CWE-787	0	0	BUG-035	
palette_neon_intrinsics_112_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	palette_neon_intrinsics.c	112	png_target_do_expand_palette_rgb8_neon	CWE-125	0	0		true
readpng_273_integer-overflow	NO_REPRODUCER	FP	integer-overflow	readpng.c	273	readpng_get_image	CWE-190	0	0		true
readpng_296_heap-buffer-overflow	NO_REPRODUCER	FP	heap-buffer-overflow	readpng.c	296	readpng_get_image	CWE-122	0	0		true
readpng2_369_integer-overflow	FP	NOT_REPRODUCIBLE	integer-overflow	readpng2.c	369	readpng2_info_callback	CWE-190	0	0		true
readpng2_418_heap-buffer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:45	20	png_progressive_combine_row	CWE-122	0	0	BUG-034	
readppm_160_divide-by-zero	SE_DETECTED	CONCRETE_CONFIRMED	FPE	reproducer.c:32	33	readpng_get_image	CWE-369	0	0	BUG-030	
rpng-win_260_stack-buffer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	stack-buffer-overflow	reproducer.c:43	16	vulnerable_winmain_like	CWE-121	1	0	BUG-033	
rpng-win_506_integer-overflow	FP	NOT_REPRODUCIBLE	integer-overflow	rpng-win.c	506	rpng_win_create_window	CWE-190	0	0		true
rpng2-win_377_stack-buffer-overflow	FP	NOT_REPRODUCIBLE	stack-buffer-overflow	rpng2-win.c	377	WinMain	CWE-121	0	0		true
rpng2-win_1011_divide-by-zero	SE_DETECTED	CONCRETE_CONFIRMED	FPE	reproducer.c:82	52	rpng2_win_load_bg_image	CWE-369	0	0	BUG-049	
rpng2-win_1016_divide-by-zero	SE_DETECTED	CONCRETE_CONFIRMED	FPE	reproducer.c:84	51	rpng2_win_load_bg_image	CWE-369	0	0	BUG-050	
rpng2-x_1909_divide-by-zero	SE_DETECTED	CONCRETE_CONFIRMED	FPE	reproducer.c:68	30	rpng2_x_reload_bg_image	CWE-369	0	0	BUG-044	
rpng2-x_1912_divide-by-zero	SE_DETECTED	CONCRETE_CONFIRMED	FPE	reproducer.c:78	50	rpng2_x_reload_bg_image	CWE-369	0	0	BUG-047	
rpng2-x_1985_divide-by-zero	SE_DETECTED	CONCRETE_CONFIRMED	FPE	reproducer.c:64	53	rpng2_x_reload_bg_image	CWE-369	0	0	BUG-042	
rpng2-x_2077_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	rpng2-x.c	2077	is_number	CWE-125	0	0		true
makepng_240_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:15	20	set_color	CWE-125	0	0	BUG-021	
