Spec	FinalStatus	Verdict	BugType	BugFile	BugLine	BugFunc	CWE	Time	Tokens	UniqueBugID	IsDuplicate
CMakeCCompilerId_857_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	CMakeCCompilerId.c	857	main	CWE-125	0	0		true
CMakeCCompilerId_858_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:30	16	cmake_id_main	CWE-125	0	0	BUG-017	
CMakeCCompilerId_859_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	global-buffer-overflow	reproducer.c:22	16	cmake_compilerid_main_like	CWE-125	0	0	BUG-013	
CMakeCCompilerId_875_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	global-buffer-overflow	reproducer.c:20	16	cmake_id_like_main	CWE-125	0	0	BUG-010	
CMakeCCompilerId_876_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	CMakeCCompilerId.c	876	main	CWE-125	0	0		true
addtiffo_95_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:26	12	addtiffo_like_main	CWE-125	0	0	BUG-015	
addtiffo_95_null-pointer-dereference	FP	REPRODUCER_BUILD_FAIL	null-pointer-dereference	addtiffo.c	95	main	CWE-476	0	0		true
tif_overview_871_divide-by-zero	SE_DETECTED	CONCRETE_CONFIRMED	FPE	reproducer.c:32	56	TIFFBuildOverviews	CWE-369	0	0	BUG-018	
tif_overview_848_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	memmove-vec-unaligned-erms.S	488	__memcpy_avx_unaligned_erms	CWE-476	0	0	BUG-004	
tif_overview_892_null-pointer-dereference	FP	REPRODUCER_BUILD_FAIL	null-pointer-dereference	tif_overview.c	892	TIFFBuildOverviews	CWE-476	0	0		true
tif_overview_520_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:67	44	TIFF_DownSample_Subsampled_repro	CWE-476	0	0	BUG-024	
