Spec	FinalStatus	Verdict	BugType	BugFile	BugLine	BugFunc	CWE	Time	Tokens	UniqueBugID	IsDuplicate
ca_871_null-pointer-dereference	FP	NOT_REPRODUCIBLE	null-pointer-dereference	ca.c	871	ca_main	CWE-476	0	0		true
ca_1661_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:52	16	BIO_printf	CWE-125	0	0	BUG-022	
ciphers_230_null-pointer-dereference	FP	NOT_REPRODUCIBLE	null-pointer-dereference	ciphers.c	230	ciphers_main	CWE-476	0	0		true
ciphers_246_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:76	16	sk_SSL_CIPHER_num	CWE-476	2	0	BUG-025	
cmp_2545_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:40	21	X509_add_cert	CWE-476	0	0	BUG-017	
cmp_2625_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:65	18	OSSL_CMP_ITAV_get0_type	CWE-476	0	0	BUG-024	
crl2pkcs7_136_null-pointer-dereference	FP	NOT_REPRODUCIBLE	null-pointer-dereference	crl2pkcs7.c	136	crl2pkcs7_main	CWE-476	0	0		true
dgst_452_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:14	16	EVP_MD_xof	CWE-476	0	0	BUG-008	
dsa_273_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:48	17	OSSL_ENCODER_CTX_get_num_encoders	CWE-476	0	0	BUG-021	
ec_273_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:37	36	OSSL_ENCODER_CTX_set_cipher	CWE-476	0	0	BUG-015	
ec_282_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:37	19	OSSL_ENCODER_to_bio	CWE-476	0	0	BUG-014	
engine_402_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:22	20	BIO_printf	CWE-476	0	0	BUG-011	
gendsa_138_null-pointer-dereference	FP	NOT_REPRODUCIBLE	null-pointer-dereference	gendsa.c	138	gendsa_main	CWE-476	0	0		true
kdf_116_use-after-free	SE_DETECTED	CONCRETE_CONFIRMED	heap-use-after-free	reproducer.c:86	45	app_params_new_from_opts	CWE-416	0	0	BUG-027	
kdf_122_use-after-free	NO_REPRODUCER	FP	use-after-free	kdf.c	122	kdf_main	CWE-416	0	0		true
kdf_128_use-after-free	FP	NOT_REPRODUCIBLE	use-after-free	kdf.c	128	kdf_main	CWE-416	0	0		true
app_provider_128_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:41	24	opt_printf_stderr	CWE-476	0	0	BUG-019	
app_provider_131_null-pointer-dereference	FP	REPRODUCER_BUILD_FAIL	null-pointer-dereference	app_provider.c	131	opt_provider_param	CWE-476	0	0		true
apps_663_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:44	23	BIO_printf	CWE-476	0	0	BUG-020	
apps_2641_null-pointer-dereference	FP	NOT_REPRODUCIBLE	null-pointer-dereference	apps.c	2641	app_http_get_asn1	CWE-476	0	0		true
apps_2681_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:89	16	BIO_read	CWE-476	0	0	BUG-029	
apps_3285_out-of-bounds-write	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:18	30	corrupt_signature	CWE-787	0	0	BUG-010	
cmp_mock_srv_346_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	cmp_mock_srv.c	346	process_cert_request	CWE-125	0	0	BUG-001	
cmp_mock_srv_261_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:35	48	X509_NAME_cmp	CWE-476	0	0	BUG-013	
cmp_mock_srv_262_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:40	12	ASN1_INTEGER_cmp	CWE-476	0	0	BUG-016	
cmp_mock_srv_593_use-after-free	SE_DETECTED	CONCRETE_CONFIRMED	heap-use-after-free	reproducer.c:95	14	sk_OSSL_CMP_ITAV_free	CWE-416	0	0	BUG-030	
engine_loader_86_stack-buffer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	stack-buffer-overflow	reproducer.c	65	engine_open	CWE-121	0	0	BUG-006	
log_49_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:87	35	BIO_snprintf	CWE-476	0	0	BUG-028	
opt_76_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	opt.c	76	opt_progname	CWE-125	0	0	BUG-005	
opt_110_out-of-bounds-read	FP	REPRODUCER_BUILD_FAIL	out-of-bounds-read	opt.c	110	opt_progname	CWE-125	0	0		true
opt_140_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	opt.c	140	opt_progname	CWE-125	0	0		true
opt_1217_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	strlen-avx2.S	76	__strlen_avx2	CWE-125	0	0	BUG-031	
tlssrp_depr_126_use-after-free	NO_REPRODUCER	FP	use-after-free	tlssrp_depr.c	126	set_up_srp_arg	CWE-416	0	0		true
tlssrp_depr_209_use-after-free	NO_REPRODUCER	FP	use-after-free	tlssrp_depr.c	209	set_up_srp_verifier_file	CWE-416	0	0		true
vms_term_sock_150_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	stack-buffer-overflow	reproducer.c:17	12	OPENSSL_strcasecmp	CWE-125	0	0	BUG-009	
vms_term_sock_163_stack-buffer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	stack-buffer-overflow	reproducer.c:102	23	main	CWE-121	0	0	BUG-007	
vms_term_sock_581_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:41	18	LogMessage	CWE-476	0	0	BUG-018	
list_653_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:54	13	sk_EVP_KEYMGMT_push	CWE-476	0	0	BUG-023	
list_716_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:34	11	sk_EVP_SKEYMGMT_push	CWE-476	0	0	BUG-012	
list_771_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:81	13	sk_EVP_SIGNATURE_push	CWE-476	0	0	BUG-026	
list_916_null-pointer-dereference	FP	REPRODUCER_BUILD_FAIL	null-pointer-dereference	list.c	916	collect_kem	CWE-476	0	0		true
list_976_null-pointer-dereference	FP	NOT_REPRODUCIBLE	null-pointer-dereference	list.c	976	collect_asymciph	CWE-476	0	0		true
list_1109_null-pointer-dereference	FP	NOT_REPRODUCIBLE	null-pointer-dereference	list.c	1109	list_objects	CWE-476	0	0		true
list_1125_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	list.c	1125	list_objects	CWE-476	0	0	BUG-002	
mac_125_use-after-free	SE_DETECTED	CONCRETE_CONFIRMED	heap-use-after-free	mac.c	125	mac_main	CWE-416	0	0	BUG-003	
mac_131_use-after-free	FP	NOT_REPRODUCIBLE	use-after-free	mac.c	131	mac_main	CWE-416	0	0		true
ocsp_476_double-free	SE_DETECTED	CONCRETE_CONFIRMED	attempting	ocsp.c	476	ocsp_main	CWE-415	0	0	BUG-004	
