Spec	FinalStatus	Verdict	BugType	BugFile	BugLine	BugFunc	CWE	Time	Tokens	UniqueBugID	IsDuplicate
jimsh0_2111_stack-buffer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	stack-buffer-overflow	reproducer.c:29	5	JimReadableTimeout	CWE-121	0	0	BUG-026	
jimsh0_4063_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:74	17	Vulnerable_Replace_Loop	CWE-125	0	0	BUG-068	
jimsh0_7182_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	jimsh0.c	7182	JimStringFirst	CWE-125	0	0	BUG-007	
jimsh0_7199_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	jimsh0.c	7199	JimStringLast	CWE-125	0	0	BUG-008	
jimsh0_7980_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:59	21	JimParseScript	CWE-125	0	0	BUG-056	
jimsh0_8497_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:37	25	JimEscape	CWE-125	0	0	BUG-035	
jimsh0_11978_divide-by-zero	FP	NOT_REPRODUCIBLE	divide-by-zero	jimsh0.c	11978	UpdateStringOfDouble	CWE-369	0	0		true
jimsh0_12383_heap-buffer-overflow	NO_REPRODUCER	FP	heap-buffer-overflow	jimsh0.c	12383	JimMakeListStringRep	CWE-122	0	0		true
jimsh0_12660_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:71	20	ListRemoveDuplicates	CWE-125	0	0	BUG-066	
jimsh0_16371_heap-buffer-overflow	NO_REPRODUCER	FP	heap-buffer-overflow	jimsh0.c	16371	JimInterpolateTokens	CWE-122	0	0		true
jimsh0_16880_integer-overflow	NO_REPRODUCER	FP	integer-overflow	jimsh0.c	16880	JimReadTextFile	CWE-190	0	0		true
jimsh0_17321_divide-by-zero	FP	NOT_REPRODUCIBLE	divide-by-zero	jimsh0.c	17321	JimSubDivHelper	CWE-369	0	0		true
jimsh0_17331_divide-by-zero	SE_DETECTED	CONCRETE_CONFIRMED	FPE	reproducer.c:127	29	JimSubDivHelper	CWE-369	0	0	BUG-012	
jimsh0_17371_divide-by-zero	FP	NOT_REPRODUCIBLE	divide-by-zero	jimsh0.c	17371	JimSubDivHelper	CWE-369	0	0		true
jimsh0_19712_divide-by-zero	FP	NOT_REPRODUCIBLE	divide-by-zero	jimsh0.c	19712	Jim_TimeRateCoreCommand	CWE-369	0	0		true
jimsh0_20156_use-after-free	SE_DETECTED	CONCRETE_CONFIRMED	heap-use-after-free	reproducer.c:143	63	JimDictWith	CWE-416	0	0	BUG-014	
jimsh0_23153_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:43	31	regtry	CWE-476	0	0	BUG-040	
jimsh0_23148_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:39	31	regtry	CWE-476	0	0	BUG-037	
jimsh0_23616_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	jimsh0.c	23616	jim_regerror	CWE-476	0	0	BUG-006	
jimsh0_23748_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:68	13	waitpid	CWE-476	0	0	BUG-064	
expert_57_heap-buffer-overflow	FP	NOT_REPRODUCIBLE	heap-buffer-overflow	expert.c	57	readSqlFromFile	CWE-122	0	0		true
expert_64_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:68	13	readSqlFromFile	CWE-476	0	0		true
sqlite3expert_305_heap-buffer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	sqlite3expert.c	305	idxNewConstraint	CWE-122	0	0	BUG-082	
sqlite3expert_242_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:12	9	my_strlen	CWE-125	0	0	BUG-011	
sqlite3expert_274_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	sqlite3expert.c	274	idxHashFind	CWE-125	0	0	BUG-081	
test_expert_35_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:59	10	dbHandleFromObj	CWE-476	0	0	BUG-053	
fts3_843_integer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:51	14	fts3QuoteId	CWE-190	0	0	BUG-048	
fts3_1374_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:96	45	fts3InitVtab_repro	CWE-125	0	0	BUG-080	
fts3_2098_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:20	5	fts3PoslistCopy	CWE-125	0	0	BUG-018	
fts3_2138_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:22	5	fts3ColumnlistCopy	CWE-125	0	0	BUG-021	
fts3_2771_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:43	7	sqlite3Fts3FirstFilter	CWE-125	0	0	BUG-041	
fts3_2783_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:29	22	sqlite3Fts3GetVarint	CWE-125	0	0	BUG-025	
fts3_3224_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:27	15	fts3DoclistCountDocids	CWE-125	0	0	BUG-023	
fts3_5981_null-pointer-dereference	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	reproducer.c:49	48	sqlite3Fts3EvalPhraseStats	CWE-476	0	0	BUG-046	
fts3_5817_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:53	24	fts3EvalUpdateCounts	CWE-125	0	0	BUG-050	
fts3_6144_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:73	9	sqlite3Fts3EvalPhrasePoslist	CWE-125	0	0	BUG-067	
fts3_expr_472_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:87	31	getNextNode	CWE-125	0	0	BUG-078	
fts3_expr_481_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:87	15	getNextNode	CWE-125	0	0	BUG-077	
fts3_expr_1082_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	fts3_expr.c	1082	sqlite3Fts3ExprParse	CWE-125	0	0	BUG-001	
fts3_snippet_354_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:32	15	fts3SnippetAdvance	CWE-125	0	0	BUG-027	
fts3_snippet_454_out-of-bounds-read	FP	NOT_REPRODUCIBLE	out-of-bounds-read	fts3_snippet.c	454	fts3SnippetDetails	CWE-125	0	0		true
fts3_snippet_617_integer-overflow	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	fts3_snippet.c	617	fts3StringAppend	CWE-190	0	0	BUG-002	
fts3_snippet_855_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:17	18	fts3ColumnlistCount	CWE-125	0	0	BUG-015	
fts3_snippet_1122_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:64	23	sqlite3Fts3GetVarint	CWE-125	0	0	BUG-062	
fts3_snippet_1275_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:59	24	sqlite3Fts3GetVarint	CWE-125	0	0	BUG-057	
fts3_term_232_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:62	9	sqlite3Fts3GetVarint	CWE-125	0	0	BUG-059	
fts3_tokenizer_309_stack-buffer-overflow	FP	REPRODUCER_BUILD_FAIL	stack-buffer-overflow	fts3_tokenizer.c	309	testFunc	CWE-121	0	0		true
fts3_unicode_158_integer-overflow	NO_REPRODUCER	FP	integer-overflow	fts3_unicode.c	158	unicodeAddExceptions	CWE-190	0	0		true
fts3_write_1451_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:32	35	fts3SegReaderNext	CWE-125	0	0	BUG-028	
fts3_write_1539_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:87	14	fts3SegReaderNextDocid	CWE-125	0	0	BUG-076	
fts3_write_2670_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:13	20	fts3GetVarint32	CWE-125	0	0	BUG-013	
fts3_write_3862_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:34	16	nodeReaderInit	CWE-125	0	0	BUG-031	
fts3_write_3864_out-of-bounds-read	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	reproducer.c:32	9	sqlite3Fts3GetVarint	CWE-125	0	0	BUG-029	
