Spec	FinalStatus	Verdict	BugType	BugFile	BugLine	BugFunc	CWE	Time	Tokens	UniqueBugID	IsDuplicate
0000_readelf_c_23619_cpp-overflow-buffer	REPRODUCER_BUILD_FAIL	REPRODUCER_BUILD_FAIL	heap-buffer-overflow	readelf.c	23619		CWE-119	0	14116		
0461_readelf_c_23695_local-cpp-cwe-120-overflow	LLM_FP	FP		readelf.c	23695		CWE-120	0	14116		
0462_readelf_c_23705_local-cpp-cwe-120-overflow	LLM_FP	FP		readelf.c	23705		CWE-120	0	14116		
0465_readelf_c_23619_local-cpp-cwe-120-overflow	REPRODUCER_BUILD_FAIL	REPRODUCER_BUILD_FAIL	heap-buffer-overflow	readelf.c	23619		CWE-120	0	14116		
0479_readelf_c_23226_local-cpp-cwe-120-overflow	LLM_FP	FP		readelf.c	23226		CWE-120	0	14116		
0523_readelf_c_14832_local-cpp-cwe-120-overflow	LLM_FP	FP		readelf.c	14832		CWE-120	0	14116		
0651_readelf_c_6356_local-cpp-cwe-120-overflow	LLM_FP	FP		readelf.c	6356		CWE-120	0	14116		
0814_readelf_c_24222_local-cpp-cwe-125-oob-read	LLM_FP	FP		readelf.c	24222		CWE-125	0	14116		
0815_readelf_c_24227_local-cpp-cwe-125-oob-read	LLM_FP	FP		readelf.c	24227		CWE-125	0	14116		
0818_readelf_c_24039_local-cpp-cwe-125-oob-read	LLM_FP	FP		readelf.c	24039		CWE-125	0	14116		
1370_readelf_c_23749_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	23749		CWE-125	0	14116		
1371_readelf_c_23752_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	23752		CWE-125	0	14116		
1532_readelf_c_23025_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	23025		CWE-125	0	14116		
1533_readelf_c_23026_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	23026		CWE-125	0	14116		
1534_readelf_c_23049_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	23049		CWE-125	0	14116		
1535_readelf_c_23050_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	23050		CWE-125	0	14116		
1612_readelf_c_20061_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	20061		CWE-125	0	14116		
1615_readelf_c_20061_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	20061		CWE-125	0	14116		
1616_readelf_c_20062_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	20062		CWE-125	0	14116		
1617_readelf_c_20062_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	20062		CWE-125	0	14116		
1620_readelf_c_20063_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	20063		CWE-125	0	14116		
1622_readelf_c_20063_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	20063		CWE-125	0	14116		
1623_readelf_c_20064_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	20064		CWE-125	0	14116		
1624_readelf_c_20064_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	20064		CWE-125	0	14116		
1626_readelf_c_20072_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	20072		CWE-125	0	14116		
1627_readelf_c_20073_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	20073		CWE-125	0	14116		
1631_readelf_c_20092_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	20092		CWE-125	0	14116		
1632_readelf_c_20092_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	20092		CWE-125	0	14116		
1633_readelf_c_20093_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	20093		CWE-125	0	14116		
1634_readelf_c_20093_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	20093		CWE-125	0	14116		
1635_readelf_c_20094_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	20094		CWE-125	0	14116		
1636_readelf_c_20094_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	20094		CWE-125	0	14116		
1640_readelf_c_20095_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	20095		CWE-125	0	14116		
1641_readelf_c_20095_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	20095		CWE-125	0	14116		
1643_readelf_c_20103_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	20103		CWE-125	0	14116		
1645_readelf_c_20104_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	20104		CWE-125	0	14116		
1712_readelf_c_18135_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	18135		CWE-125	0	14116		
1713_readelf_c_18233_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	18233		CWE-125	0	14116		
1741_readelf_c_17016_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	17016		CWE-125	0	14116		
1742_readelf_c_17032_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	17032		CWE-125	0	14116		
1754_readelf_c_16961_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	16961		CWE-125	0	14116		
1802_readelf_c_14750_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	14750		CWE-125	0	14116		
1935_readelf_c_13971_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	13971		CWE-125	0	14116		
1938_readelf_c_13983_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	13983		CWE-125	0	14116		
1943_readelf_c_13131_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	13131		CWE-125	0	14116		
1946_readelf_c_12392_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	12392		CWE-125	0	14116		
1947_readelf_c_12396_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	12396		CWE-125	0	14116		
1951_readelf_c_12411_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	12411		CWE-125	0	14116		
1952_readelf_c_12415_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	12415		CWE-125	0	14116		
1953_readelf_c_12486_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	12486		CWE-125	0	14116		
1954_readelf_c_12491_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	12491		CWE-125	0	14116		
1955_readelf_c_12498_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		readelf.c	12498		CWE-125	0	14116		
