Spec	FinalStatus	Verdict	BugType	BugFile	BugLine	BugFunc	CWE	Time	Tokens	UniqueBugID	IsDuplicate
0626_tool_cfgable_c_260_sailor-cpp-CWE-416-DirectFreeArgUseFast	LLM_FP	FP	use-after-free	tool_cfgable.c	260		CWE-416	0	13519		
0627_tool_cfgable_c_263_sailor-cpp-CWE-416-DirectFreeArgUseFast	LLM_FP	FP	use-after-free	tool_cfgable.c	263		CWE-416	0	13519		
0628_tool_cfgable_c_264_sailor-cpp-CWE-416-DirectFreeArgUseFast	LLM_FP	FP	use-after-free	tool_cfgable.c	264		CWE-416	0	13519		
0629_tool_cfgable_c_64_sailor-cpp-CWE-416-DirectFreeArgUseFast	LLM_FP	FP	use-after-free	tool_cfgable.c	64		CWE-416	0	13519		
0630_tool_cfgable_c_65_sailor-cpp-CWE-416-DirectFreeArgUseFast	LLM_FP	FP	use-after-free	tool_cfgable.c	65		CWE-416	0	13519		
0631_tool_cfgable_c_66_sailor-cpp-CWE-416-DirectFreeArgUseFast	LLM_FP	FP	use-after-free	tool_cfgable.c	66		CWE-416	0	13519		
0632_tool_cfgable_c_67_sailor-cpp-CWE-416-DirectFreeArgUseFast	LLM_FP	FP	use-after-free	tool_cfgable.c	67		CWE-416	0	13519		
0633_tool_cfgable_c_68_sailor-cpp-CWE-416-DirectFreeArgUseFast	LLM_FP	FP	use-after-free	tool_cfgable.c	68		CWE-416	0	13519		
0634_tool_cfgable_c_69_sailor-cpp-CWE-416-DirectFreeArgUseFast	LLM_FP	FP	use-after-free	tool_cfgable.c	69		CWE-416	0	13519		
0635_tool_cfgable_c_71_sailor-cpp-CWE-416-DirectFreeArgUseFast	LLM_FP	FP	use-after-free	tool_cfgable.c	71		CWE-416	0	13519		
0636_tool_cfgable_c_72_sailor-cpp-CWE-416-DirectFreeArgUseFast	LLM_FP	FP	use-after-free	tool_cfgable.c	72		CWE-416	0	13519		
0637_tool_cfgable_c_73_sailor-cpp-CWE-416-DirectFreeArgUseFast	LLM_FP	FP	use-after-free	tool_cfgable.c	73		CWE-416	0	13519		
0638_tool_cfgable_c_75_sailor-cpp-CWE-416-DirectFreeArgUseFast	LLM_FP	FP	use-after-free	tool_cfgable.c	75		CWE-416	0	13519		
0639_tool_cfgable_c_76_sailor-cpp-CWE-416-DirectFreeArgUseFast	LLM_FP	FP	use-after-free	tool_cfgable.c	76		CWE-416	0	13519		
0640_tool_cfgable_c_77_sailor-cpp-CWE-416-DirectFreeArgUseFast	LLM_FP	FP	use-after-free	tool_cfgable.c	77		CWE-416	0	13519		
0641_tool_cfgable_c_79_sailor-cpp-CWE-416-DirectFreeArgUseFast	LLM_FP	FP	use-after-free	tool_cfgable.c	79		CWE-416	0	13519		
0642_tool_cfgable_c_81_sailor-cpp-CWE-416-DirectFreeArgUseFast	LLM_FP	FP	use-after-free	tool_cfgable.c	81		CWE-416	0	13519		
0643_tool_cfgable_c_82_sailor-cpp-CWE-416-DirectFreeArgUseFast	LLM_FP	FP	use-after-free	tool_cfgable.c	82		CWE-416	0	13519		
