Spec	FinalStatus	Verdict	BugType	BugFile	BugLine	BugFunc	CWE	Time	Tokens	UniqueBugID	IsDuplicate
0003_pngset_c_1765_local-cpp-cwe-120-overflow	LLM_FP	FP		pngset.c	1765		CWE-120	0	24353		
0004_pngset_c_1798_local-cpp-cwe-120-overflow	LLM_FP	FP		pngset.c	1798		CWE-120	0	24353		
0005_pngset_c_1658_local-cpp-cwe-120-overflow	LLM_FP	FP		pngset.c	1658		CWE-120	0	24353		
0009_pngset_c_1579_local-cpp-cwe-120-overflow	LLM_FP	FP		pngset.c	1579		CWE-120	0	24353		
0014_pngset_c_1279_local-cpp-cwe-120-overflow	LLM_FP	FP		pngset.c	1279		CWE-120	0	24353		
0015_pngset_c_1299_local-cpp-cwe-120-overflow	LLM_FP	FP		pngset.c	1299		CWE-120	0	24353		
0016_pngset_c_1172_local-cpp-cwe-120-overflow	LLM_FP	FP		pngset.c	1172		CWE-120	0	24353		
0018_pngset_c_1069_local-cpp-cwe-120-overflow	LLM_FP	FP		pngset.c	1069		CWE-120	0	24353		
0019_pngset_c_1075_local-cpp-cwe-120-overflow	LLM_FP	FP		pngset.c	1075		CWE-120	0	24353		
0020_pngset_c_1078_local-cpp-cwe-120-overflow	LLM_FP	FP		pngset.c	1078		CWE-120	0	24353		
0021_pngset_c_1091_local-cpp-cwe-120-overflow	LLM_FP	FP		pngset.c	1091		CWE-120	0	24353		
0024_pngset_c_886_local-cpp-cwe-120-overflow	LLM_FP	FP		pngset.c	886		CWE-120	0	24353		
0025_pngset_c_899_local-cpp-cwe-120-overflow	LLM_FP	FP		pngset.c	899		CWE-120	0	24353		
0026_pngset_c_794_local-cpp-cwe-120-overflow	LLM_FP	FP		pngset.c	794		CWE-120	0	24353		
0028_pngset_c_639_local-cpp-cwe-120-overflow	LLM_FP	FP		pngset.c	639		CWE-120	0	24353		
0029_pngset_c_657_local-cpp-cwe-120-overflow	LLM_FP	FP		pngset.c	657		CWE-120	0	24353		
0031_pngset_c_539_local-cpp-cwe-120-overflow	LLM_FP	FP		pngset.c	539		CWE-120	0	24353		
0032_pngset_c_562_local-cpp-cwe-120-overflow	LLM_FP	FP		pngset.c	562		CWE-120	0	24353		
0033_pngset_c_573_local-cpp-cwe-120-overflow	LLM_FP	FP		pngset.c	573		CWE-120	0	24353		
0034_pngset_c_590_local-cpp-cwe-120-overflow	LLM_FP	FP		pngset.c	590		CWE-120	0	24353		
0035_pngset_c_339_local-cpp-cwe-120-overflow	LLM_FP	FP		pngset.c	339		CWE-120	0	24353		
0054_pngset_c_1647_local-cpp-cwe-125-oob-read	LLM_FP	FP	heap-buffer-overflow	pngset.c	1647		CWE-125	0	24353		
0068_pngset_c_1795_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	heap-buffer-overflow	pngset.c	1795		CWE-125	0	24353		
0187_pngset_c_1854_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1854		CWE-125	0	24353		
0188_pngset_c_1855_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1855		CWE-125	0	24353		
0189_pngset_c_1861_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1861		CWE-125	0	24353		
0192_pngset_c_1602_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1602		CWE-125	0	24353		
0197_pngset_c_1534_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1534		CWE-125	0	24353		
0198_pngset_c_1534_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1534		CWE-125	0	24353		
0201_pngset_c_1544_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1544		CWE-125	0	24353		
0202_pngset_c_1547_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1547		CWE-125	0	24353		
0203_pngset_c_1549_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1549		CWE-125	0	24353		
0207_pngset_c_1588_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1588		CWE-125	0	24353		
0218_pngset_c_1400_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1400		CWE-125	0	24353		
0219_pngset_c_1352_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1352		CWE-125	0	24353		
0220_pngset_c_1238_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1238		CWE-125	0	24353		
0221_pngset_c_1238_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1238		CWE-125	0	24353		
0223_pngset_c_1248_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1248		CWE-125	0	24353		
0224_pngset_c_1251_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1251		CWE-125	0	24353		
0225_pngset_c_1253_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1253		CWE-125	0	24353		
0226_pngset_c_1305_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1305		CWE-125	0	24353		
0227_pngset_c_1306_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1306		CWE-125	0	24353		
0229_pngset_c_1172_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1172		CWE-125	0	24353		
0230_pngset_c_1174_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1174		CWE-125	0	24353		
0231_pngset_c_1175_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1175		CWE-125	0	24353		
0232_pngset_c_1177_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1177		CWE-125	0	24353		
0233_pngset_c_1183_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1183		CWE-125	0	24353		
0234_pngset_c_1185_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1185		CWE-125	0	24353		
0235_pngset_c_1187_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1187		CWE-125	0	24353		
0236_pngset_c_1189_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1189		CWE-125	0	24353		
0237_pngset_c_1208_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1208		CWE-125	0	24353		
0238_pngset_c_1209_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1209		CWE-125	0	24353		
0241_pngset_c_1139_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1139		CWE-125	0	24353		
0249_pngset_c_940_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	940		CWE-125	0	24353		
0251_pngset_c_940_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	940		CWE-125	0	24353		
0253_pngset_c_942_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	942		CWE-125	0	24353		
0258_pngset_c_963_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	963		CWE-125	0	24353		
0259_pngset_c_975_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	975		CWE-125	0	24353		
0260_pngset_c_978_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	978		CWE-125	0	24353		
0264_pngset_c_989_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	989		CWE-125	0	24353		
0266_pngset_c_989_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	989		CWE-125	0	24353		
0275_pngset_c_1109_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	1109		CWE-125	0	24353		
0280_pngset_c_906_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	906		CWE-125	0	24353		
0281_pngset_c_907_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	907		CWE-125	0	24353		
0282_pngset_c_828_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	828		CWE-125	0	24353		
0284_pngset_c_814_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	814		CWE-125	0	24353		
0287_pngset_c_751_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	751		CWE-125	0	24353		
0288_pngset_c_752_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	752		CWE-125	0	24353		
0289_pngset_c_756_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	756		CWE-125	0	24353		
0291_pngset_c_799_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	799		CWE-125	0	24353		
0292_pngset_c_800_sailor-wmi-2-type-confusion-leak	LLM_FP	FP		pngset.c	800		CWE-125	0	24353		
