Spec	FinalStatus	Verdict	BugType	BugFile	BugLine	BugFunc	CWE	Time	Tokens	UniqueBugID	IsDuplicate
0024_tif_pixarlog_c_864_local-cpp-cwe-120-overflow	LLM_FP	FP		tif_pixarlog.c	864		CWE-120	0	15100		
0025_tif_pixarlog_c_885_local-cpp-cwe-120-overflow	LLM_FP	FP		tif_pixarlog.c	885		CWE-120	0	15100		
0026_tif_pixarlog_c_892_local-cpp-cwe-120-overflow	LLM_FP	FP		tif_pixarlog.c	892		CWE-120	0	15100		
0027_tif_pixarlog_c_907_local-cpp-cwe-120-overflow	LLM_FP	FP		tif_pixarlog.c	907		CWE-120	0	15100		
0028_tif_pixarlog_c_914_local-cpp-cwe-120-overflow	LLM_FP	FP		tif_pixarlog.c	914		CWE-120	0	15100		
0029_tif_pixarlog_c_926_local-cpp-cwe-120-overflow	LLM_FP	FP		tif_pixarlog.c	926		CWE-120	0	15100		
0030_tif_pixarlog_c_988_local-cpp-cwe-120-overflow	LLM_FP	FP		tif_pixarlog.c	988		CWE-120	0	15100		
0267_tif_pixarlog_c_1620_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1620		CWE-125	0	15100		
0271_tif_pixarlog_c_1237_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1237		CWE-125	0	15100		
0272_tif_pixarlog_c_1237_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1237		CWE-125	0	15100		
0273_tif_pixarlog_c_1238_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1238		CWE-125	0	15100		
0274_tif_pixarlog_c_1238_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1238		CWE-125	0	15100		
0275_tif_pixarlog_c_1239_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1239		CWE-125	0	15100		
0276_tif_pixarlog_c_1239_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1239		CWE-125	0	15100		
0278_tif_pixarlog_c_1244_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1244		CWE-125	0	15100		
0281_tif_pixarlog_c_1245_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1245		CWE-125	0	15100		
0282_tif_pixarlog_c_1247_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1247		CWE-125	0	15100		
0283_tif_pixarlog_c_1248_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1248		CWE-125	0	15100		
0284_tif_pixarlog_c_1250_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1250		CWE-125	0	15100		
0285_tif_pixarlog_c_1251_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1251		CWE-125	0	15100		
0286_tif_pixarlog_c_1259_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1259		CWE-125	0	15100		
0287_tif_pixarlog_c_1259_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1259		CWE-125	0	15100		
0288_tif_pixarlog_c_1260_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1260		CWE-125	0	15100		
0289_tif_pixarlog_c_1260_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1260		CWE-125	0	15100		
0290_tif_pixarlog_c_1261_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1261		CWE-125	0	15100		
0291_tif_pixarlog_c_1261_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1261		CWE-125	0	15100		
0292_tif_pixarlog_c_1262_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1262		CWE-125	0	15100		
0293_tif_pixarlog_c_1262_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1262		CWE-125	0	15100		
0294_tif_pixarlog_c_1267_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1267		CWE-125	0	15100		
0295_tif_pixarlog_c_1268_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1268		CWE-125	0	15100		
0296_tif_pixarlog_c_1270_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1270		CWE-125	0	15100		
0297_tif_pixarlog_c_1271_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1271		CWE-125	0	15100		
0298_tif_pixarlog_c_1273_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1273		CWE-125	0	15100		
0299_tif_pixarlog_c_1274_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1274		CWE-125	0	15100		
0300_tif_pixarlog_c_1276_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1276		CWE-125	0	15100		
0301_tif_pixarlog_c_1277_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1277		CWE-125	0	15100		
0302_tif_pixarlog_c_1285_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1285		CWE-125	0	15100		
0303_tif_pixarlog_c_1285_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1285		CWE-125	0	15100		
0305_tif_pixarlog_c_1290_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1290		CWE-125	0	15100		
0306_tif_pixarlog_c_1290_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1290		CWE-125	0	15100		
0316_tif_pixarlog_c_1162_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1162		CWE-125	0	15100		
0317_tif_pixarlog_c_1162_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1162		CWE-125	0	15100		
0319_tif_pixarlog_c_1163_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1163		CWE-125	0	15100		
0320_tif_pixarlog_c_1163_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1163		CWE-125	0	15100		
0322_tif_pixarlog_c_1164_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1164		CWE-125	0	15100		
0323_tif_pixarlog_c_1164_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1164		CWE-125	0	15100		
0325_tif_pixarlog_c_1171_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1171		CWE-125	0	15100		
0326_tif_pixarlog_c_1172_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1172		CWE-125	0	15100		
0327_tif_pixarlog_c_1174_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1174		CWE-125	0	15100		
0328_tif_pixarlog_c_1175_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1175		CWE-125	0	15100		
0329_tif_pixarlog_c_1177_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1177		CWE-125	0	15100		
0330_tif_pixarlog_c_1178_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1178		CWE-125	0	15100		
0331_tif_pixarlog_c_1184_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1184		CWE-125	0	15100		
0332_tif_pixarlog_c_1184_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1184		CWE-125	0	15100		
0333_tif_pixarlog_c_1185_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1185		CWE-125	0	15100		
0335_tif_pixarlog_c_1185_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1185		CWE-125	0	15100		
0337_tif_pixarlog_c_1186_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1186		CWE-125	0	15100		
0338_tif_pixarlog_c_1186_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1186		CWE-125	0	15100		
0340_tif_pixarlog_c_1187_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1187		CWE-125	0	15100		
0341_tif_pixarlog_c_1187_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1187		CWE-125	0	15100		
0343_tif_pixarlog_c_1194_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1194		CWE-125	0	15100		
0344_tif_pixarlog_c_1195_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1195		CWE-125	0	15100		
0346_tif_pixarlog_c_1197_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1197		CWE-125	0	15100		
0347_tif_pixarlog_c_1198_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1198		CWE-125	0	15100		
0349_tif_pixarlog_c_1200_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1200		CWE-125	0	15100		
0352_tif_pixarlog_c_1201_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1201		CWE-125	0	15100		
0356_tif_pixarlog_c_1203_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1203		CWE-125	0	15100		
0358_tif_pixarlog_c_1204_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1204		CWE-125	0	15100		
0359_tif_pixarlog_c_1210_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1210		CWE-125	0	15100		
0360_tif_pixarlog_c_1210_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1210		CWE-125	0	15100		
0362_tif_pixarlog_c_1215_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1215		CWE-125	0	15100		
0363_tif_pixarlog_c_1215_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1215		CWE-125	0	15100		
0376_tif_pixarlog_c_1085_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1085		CWE-125	0	15100		
0377_tif_pixarlog_c_1085_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1085		CWE-125	0	15100		
0380_tif_pixarlog_c_1086_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1086		CWE-125	0	15100		
0381_tif_pixarlog_c_1086_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1086		CWE-125	0	15100		
0384_tif_pixarlog_c_1087_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1087		CWE-125	0	15100		
0385_tif_pixarlog_c_1087_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1087		CWE-125	0	15100		
0386_tif_pixarlog_c_1094_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1094		CWE-125	0	15100		
0389_tif_pixarlog_c_1095_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP		tif_pixarlog.c	1095		CWE-125	0	15100		
0392_tif_pixarlog_c_1097_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	heap-buffer-overflow	tif_pixarlog.c	1097		CWE-125	0	15100		
0394_tif_pixarlog_c_1098_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	heap-buffer-overflow	tif_pixarlog.c	1098		CWE-125	0	15100		
0395_tif_pixarlog_c_1100_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	heap-buffer-overflow	tif_pixarlog.c	1100		CWE-125	0	15100		
0398_tif_pixarlog_c_1101_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	heap-buffer-overflow	tif_pixarlog.c	1101		CWE-125	0	15100		
0400_tif_pixarlog_c_1107_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	heap-buffer-overflow	tif_pixarlog.c	1107		CWE-125	0	15100		
