Spec	FinalStatus	Verdict	BugType	BugFile	BugLine	BugFunc	CWE	Time	Tokens	UniqueBugID	IsDuplicate
0141_xmlschemas_c_23300_local-cpp-cwe-120-overflow	LLM_FP	FP	buffer-overflow	xmlschemas.c	23300		CWE-120	0	24850		
0142_xmlschemas_c_22412_local-cpp-cwe-120-overflow	LLM_FP	FP	buffer-overflow	xmlschemas.c	22412		CWE-120	0	24850		
0148_xmlschemas_c_3519_local-cpp-cwe-120-overflow	LLM_FP	FP	buffer-overflow	xmlschemas.c	3519		CWE-120	0	24850		
0629_xmlschemas_c_26869_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	oob-read	xmlschemas.c	26869		CWE-125	0	24850		
0681_xmlschemas_c_23694_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	oob-read	xmlschemas.c	23694		CWE-125	0	24850		
0682_xmlschemas_c_23699_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	oob-read	xmlschemas.c	23699		CWE-125	0	24850		
0684_xmlschemas_c_23509_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	oob-read	xmlschemas.c	23509		CWE-125	0	24850		
0685_xmlschemas_c_23514_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	oob-read	xmlschemas.c	23514		CWE-125	0	24850		
0689_xmlschemas_c_23229_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	oob-read	xmlschemas.c	23229		CWE-125	0	24850		
0692_xmlschemas_c_23236_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	oob-read	xmlschemas.c	23236		CWE-125	0	24850		
0695_xmlschemas_c_22346_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	oob-read	xmlschemas.c	22346		CWE-125	0	24850		
0696_xmlschemas_c_22353_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	oob-read	xmlschemas.c	22353		CWE-125	0	24850		
0700_xmlschemas_c_22076_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	oob-read	xmlschemas.c	22076		CWE-125	0	24850		
0702_xmlschemas_c_22082_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	oob-read	xmlschemas.c	22082		CWE-125	0	24850		
0713_xmlschemas_c_21725_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	oob-read	xmlschemas.c	21725		CWE-125	0	24850		
0714_xmlschemas_c_21731_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	oob-read	xmlschemas.c	21731		CWE-125	0	24850		
0715_xmlschemas_c_21690_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	oob-read	xmlschemas.c	21690		CWE-125	0	24850		
0716_xmlschemas_c_21696_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	oob-read	xmlschemas.c	21696		CWE-125	0	24850		
0717_xmlschemas_c_21652_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	oob-read	xmlschemas.c	21652		CWE-125	0	24850		
0718_xmlschemas_c_21658_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	oob-read	xmlschemas.c	21658		CWE-125	0	24850		
0757_xmlschemas_c_3360_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	oob-read	xmlschemas.c	3360		CWE-125	0	24850		
0758_xmlschemas_c_3364_local-cpp-cwe-125-cursor-lookahead-missing-bytes-check	LLM_FP	FP	oob-read	xmlschemas.c	3364		CWE-125	0	24850		
