Spec	FinalStatus	Verdict	BugType	BugFile	BugLine	BugFunc	CWE	Time	Tokens	UniqueBugID	IsDuplicate
target_0013_reproducer_001	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0	BUG-001	
target_0013_reproducer_002	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
reproducer_001.c	REPRODUCER_BUILD_FAIL	REPRODUCER_BUILD_FAIL			0			0	0		
target_0012_reproducer_001	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
target_0012_reproducer_002	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
target_0012_reproducer_003	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
target_0012_reproducer_004	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
target_0012_reproducer_005	NOT_REPRODUCIBLE	NOT_REPRODUCIBLE			0			0	0		
reproducer_001.c	REPRODUCER_BUILD_FAIL	REPRODUCER_BUILD_FAIL			0			0	0		
target_0004_reproducer_002	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	node_record.c:144	4	node_expand_addr		0	0	BUG-016	
target_0004_reproducer_003	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	node_record.c:144	4	node_expand_addr		0	0		true
target_0004_reproducer_004	NOT_REPRODUCIBLE	NOT_REPRODUCIBLE			0			0	0		
target_0007_reproducer_001	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	ebitmap.c:521	5	ebitmap_destroy		0	0	BUG-006	
target_0007_reproducer_002	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	util.c:89	23	sepol_av_to_string		0	0	BUG-017	
target_0007_reproducer_003	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
target_0007_reproducer_004	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
target_0001_reproducer_001	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	kernel_to_cil.c:1585	8	write_type_permissive_rules_to_cil		0	0	BUG-009	
target_0001_reproducer_002	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	kernel_to_cil.c:1627	8	write_type_neveraudit_rules_to_cil		0	0	BUG-010	
target_0001_reproducer_003	NOT_REPRODUCIBLE	NOT_REPRODUCIBLE			0			0	0		
target_0001_reproducer_004	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	kernel_to_cil.c:1948	8	map_filename_trans_to_str		0	0	BUG-011	
target_0001_reproducer_005	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	kernel_to_common.c:320	19	ebitmap_to_strs		0	0	BUG-012	
reproducer_001.c	REPRODUCER_BUILD_FAIL	REPRODUCER_BUILD_FAIL			0			0	0		
reproducer_002.c	REPRODUCER_BUILD_FAIL	REPRODUCER_BUILD_FAIL			0			0	0		
target_0015_reproducer_001	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
target_0015_reproducer_002	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
target_0015_reproducer_003	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
reproducer_004.c	REPRODUCER_BUILD_FAIL	REPRODUCER_BUILD_FAIL			0			0	0		
target_0015_reproducer_005	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
target_0009_reproducer_001	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
target_0009_reproducer_002	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
target_0009_reproducer_003	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
target_0009_reproducer_004	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
target_0009_reproducer_005	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
target_0003_reproducer_001	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	conditional.c:226	33	cond_evaluate_expr		0	0	BUG-003	
target_0003_reproducer_002	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	mls.c:123	7	mls_compute_context_len		0	0	BUG-013	
target_0003_reproducer_003	SE_DETECTED	CONCRETE_CONFIRMED	SEGV	context.c:99	6	context_to_string		0	0	BUG-005	
target_0008_reproducer_001	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	booleans.c:129	10	selinux_boolean_sub		0	0	BUG-002	
reproducer_002.c	REPRODUCER_BUILD_FAIL	REPRODUCER_BUILD_FAIL			0			0	0		
reproducer_001.c	REPRODUCER_BUILD_FAIL	REPRODUCER_BUILD_FAIL			0			0	0		
reproducer_002.c	REPRODUCER_BUILD_FAIL	REPRODUCER_BUILD_FAIL			0			0	0		
target_0011_reproducer_003	NOT_REPRODUCIBLE	NOT_REPRODUCIBLE			0			0	0		
target_0010_reproducer_001	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
target_0010_reproducer_002	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
target_0010_reproducer_003	SE_DETECTED	CONCRETE_CONFIRMED	heap-buffer-overflow	hashtab.c:118	24	hashtab_insert		0	0	BUG-008	
reproducer_001.c	REPRODUCER_BUILD_FAIL	REPRODUCER_BUILD_FAIL			0			0	0		
reproducer_002.c	REPRODUCER_BUILD_FAIL	REPRODUCER_BUILD_FAIL			0			0	0		
target_0016_reproducer_001	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
target_0016_reproducer_002	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
target_0016_reproducer_003	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
target_0016_reproducer_004	SE_DETECTED	CONCRETE_CONFIRMED	SEGV		0			0	0		true
