Projects,LOC,Files,B1: Human harness (OSS-Fuzz)+KLEE,B2: Single-shot LLM (GPT5) Harness+KLEE,B3: Pure LLM (GPT5) detect,B4: SA+LLM (GPT5) detect,B5: Agentic (Claude code),A1: SAILOR (GPT5)-SA,SAILOR-GPT5
libxml2,149K,204,0/0/11 (12),0/0/2 (28),0/0/345,0/0/49,0/0/5,20/20/47,11/16/377
libtiff,95K,150,0/0/2 (2),0/0/6 (19),5/6/72,0/0/64,0/0/7,11/11/53,14/21/71
libpng,63K,106,0/0/0 (4*),0/0/0 (20),0/0/162,0/0/2,0/0/29,0/0/40,21/29/44
binutils,1.84M,2662,0/0/1 (15),0/0/0 (30),0/0/60,0/0/36,0/0/63,0/0/0,52/74/257
curl,174K,697,0/0/5 (6),0/0/0 (25),0/0/138,0/0/28,0/0/7,0/0/9,0/0/3
OpenSSL,710K,2260,0/0/0 (31),0/0/0 (27),0/0/818,0/0/194,5/5/157,0/0/14,0/0/0
FFmpeg,1.3M,4349,0/0/0 (6),0/0/0 (21),0/0/57,0/0/680,0/0/0,0/0/3,78/78/109
SELinux,190K,551,0/0/0 (4),0/0/0 (26),0/0/30,2/2/81,6/6/82,0/0/19,62/62/285
SQLite,1.05M,511,0/0/0 (3*),0/0/32 (36),0/0/99,0/0/10,1/1/43,0/0/72,0/0/12
mupdf,1.25M,3144,0/0/0 (3*),0/0/46 (49),0/0/0,0/0/219,0/0/37,0/0/19,141/141/187
Total,6.8M,14634,0/0/19,0/0/86,5/6/1781,2/2/1363,12/12/430,31/31/276,379/421/1345
Non-overlapping,,,0,0,4,2,11,30,378

NOTE
"Cell format: U/C/D — U=Unique bugs (file:line deduped) | C=Confirmed (ASan crash in real .a) | D=Detected (total reported)"
"For B1/B2: (N) = number of harnesses. * = manually written (no OSS-Fuzz available)"
