Baseline,Project,Specs,LLM_Tokens_M,KLEE_Runs,Agent_Turns,Wall_clock_h,Confirmed,Detected
SAILOR-GPT5,binutils,1260,186.0,1738,15910,160.8,74,266
SAILOR-GPT5,libpng,181,24.0,283,2118,18.4,29,45
SAILOR-GPT5,libtiff,2313,39.1,483,105278,300.9,21,214
SAILOR-GPT5,libxml2,1737,320.7,2009,29590,225.1,16,504
SAILOR-GPT5,curl,510,75.1,1365,6842,67.9,0,3
SAILOR-GPT5,OpenSSL,1724,237.7,3892,20805,200.1,0,0
SAILOR-GPT5,FFmpeg,,,,,,,78,109
SAILOR-GPT5,SELinux,10969,161.6,2114,596043,376.4,51,285
SAILOR-GPT5,SQLite,,,,,,,0,2032
SAILOR-GPT5,mupdf,1078,122.3,1480,10287,103.0,141,604
SAILOR-DeepSeek,libtiff,946,274.0,2212,26226,218.7,12,490
B3,binutils,,,,,,15,60
B3,libpng,,,,,7.5,4,51
B3,libtiff,,,,,8.6,0,32
B3,libxml2,,,,,,4,74
B3,curl,,,,,,0,0
B3,OpenSSL,,,,,,0,31
B3,FFmpeg,,1.5,,,4.2,12,35
B3,SELinux,,0.7,,,2.0,7,30
B3,SQLite,,3.0,,,8.8,4,86
B3,mupdf,,2.7,,,3.3,0,0
B4,binutils,,3.1,,,,,0,19140
B4,libpng,,0.3,,,,0,609
B4,libtiff,,1.0,,,,0,1491
B4,libxml2,,1.1,,,,0,1987
B4,curl,,1.5,,,,0,2040
B5,curl,24,9.2M,,,,0,0
B5,SELinux,28,44.8M,,,,6,45
B5,SQLite,40,40.7M,,,,1,11
B5,OpenSSL,134,,,,,7,46
