Spec	FuzzVerdict	FuzzAsanType	ConcreteVerdict	OriginalAsanType	BugFile	BugLine	CWE	UniqueBugID	IsDuplicate
3469_ctf-create.c_483_sailor_cpp_CWE-416_DirectFreeArgUseFast	FUZZ_REPRODUCED	SEGV	CONCRETE_CONFIRMED		ctf-create.c	485	unknown	BUG-025	
951_cofflink.c_1211_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check	FUZZ_REPRODUCED	heap-buffer-overflow	CONCRETE_CONFIRMED		cofflink.c	1210	unknown	BUG-039	
2580_elf-eh-frame.c_1959_local_cpp_cwe-787-oob-write	FUZZ_REPRODUCED	heap-buffer-overflow	CONCRETE_CONFIRMED		elf-eh-frame.c	1958	unknown	BUG-041	
1224_peigen.c_2695_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check	FUZZ_REPRODUCED	heap-buffer-overflow	CONCRETE_CONFIRMED		peigen.c	2698	unknown	BUG-046	
3186_coffgen.c_1825_sailor_cpp_CWE-416_DirectFreeArgUseFast	FUZZ_REPRODUCED	heap-buffer-overflow	CONCRETE_CONFIRMED		coffgen.c	1825	unknown	BUG-047	
3199_syms.c_1088_sailor_cpp_CWE-416_DirectFreeArgUseFast	FUZZ_REPRODUCED	heap-buffer-overflow	CONCRETE_CONFIRMED		syms.c	1092	unknown	BUG-048	
2407_pex-common.c_263_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check	FUZZ_REPRODUCED	heap-buffer-overflow	CONCRETE_CONFIRMED		pex-common.c	263	unknown	BUG-049	
3158_dwarf1.c_606_sailor_cpp_CWE-416_DirectFreeArgUseFast	FUZZ_REPRODUCED	heap-buffer-overflow	CONCRETE_CONFIRMED		dwarf1.c	606	unknown	BUG-054	
1028_elf.c_6112_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check	FUZZ_REPRODUCED	SEGV	CONCRETE_CONFIRMED		elf.c	6114	unknown	BUG-057	
2116_hashtab.c_175_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check	FUZZ_REPRODUCED	SEGV	CONCRETE_CONFIRMED		hashtab.c	184	unknown	BUG-075	
994_elfxx-x86.c_3869_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check	FUZZ_REPRODUCED	heap-buffer-overflow	CONCRETE_CONFIRMED		elfxx-x86.c	3869	unknown	BUG-096	
997_hash.c_389_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check	FUZZ_REPRODUCED	SEGV	CONCRETE_CONFIRMED		hash.c	400	unknown	BUG-101	
950_dwarf2.c_2843_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check	FUZZ_REPRODUCED	heap-buffer-overflow	CONCRETE_CONFIRMED		dwarf2.c	2843	unknown	BUG-114	
3471_ctf-create.c_325_sailor_cpp_CWE-416_DirectFreeArgUseFast	FUZZ_REPRODUCED	heap-buffer-overflow	CONCRETE_CONFIRMED		ctf-create.c	325	unknown	BUG-117	
195_elfxx-x86.c_2683_local_cpp_cwe-120-overflow	FUZZ_REPRODUCED	heap-buffer-overflow	CONCRETE_CONFIRMED		elfxx-x86.c	2683	unknown	BUG-122	
10845_elflink.c_6090_sailor_wmi-2-type-confusion-leak	FUZZ_REPRODUCED	heap-buffer-overflow	CONCRETE_CONFIRMED		elflink.c	6099	CWE-416	BUG-126	
13898_ctf-create.c_1398_sailor_wmi-2-type-confusion-leak	FUZZ_REPRODUCED	heap-buffer-overflow	CONCRETE_CONFIRMED		ctf-create.c	1398	CWE-416	BUG-128	
4592_elf-strtab.c_393_sailor_wmi-2-type-confusion-leak	FUZZ_REPRODUCED	heap-buffer-overflow	CONCRETE_CONFIRMED		elf-strtab.c	393	CWE-416	BUG-131	
8146_elf.c_7944_sailor_wmi-2-type-confusion-leak	FUZZ_REPRODUCED	SEGV	CONCRETE_CONFIRMED		elf.c	8107	CWE-416	BUG-132	
4190_cache.c_597_sailor_wmi-2-type-confusion-leak	FUZZ_REPRODUCED	heap-buffer-overflow	CONCRETE_CONFIRMED		cache.c	597	CWE-416	BUG-133	
17819_ctf-serialize.c_134_sailor_wmi-2-type-confusion-leak	FUZZ_REPRODUCED	heap-buffer-overflow	CONCRETE_CONFIRMED		ctf-serialize.c	136	CWE-416	BUG-136	
16560_dyn-string.c_175_sailor_wmi-2-type-confusion-leak	FUZZ_REPRODUCED	SEGV	CONCRETE_CONFIRMED		dyn-string.c	175	CWE-416	BUG-137	
