Project,BugID,CrashFile,CrashLine,CrashFunction,CrashType,CWE,CodeQLRules,NumSpecs,RepresentativeSpec,Source,KleeRuns,AgentTurns,AgentTokens,AgentTimeSec,SourceURL
binutils,BUG-006,simple-object.c,344,simple_object_copy_lto_debug_sections,heap-buffer-overflow,unknown,kernel-lifecycle-mismatch,1,19079_simple-object.c_575_sailor_kernel-lifecycle-mismatch,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=libiberty/simple-object.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l344
binutils,BUG-018,elf.c,4699,_bfd_elf_compute_section_file_positions,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,1065_elf.c_4145_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/elf.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l4699
binutils,BUG-021,dwarf2.c,5713,_bfd_dwarf2_find_symbol_bias,heap-buffer-overflow,unknown,cpp_CWE-416_DirectFreeArgUseFast,1,3195_dwarf2.c_3112_sailor_cpp_CWE-416_DirectFreeArgUseFast,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/dwarf2.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l5713
binutils,BUG-022,dwarf2.c,5819,_bfd_dwarf2_find_nearest_line_with_alt,heap-buffer-overflow,unknown,cpp_cwe-416-use-after-realloc,1,3664_dwarf2.c_1287_sailor_cpp_cwe-416-use-after-realloc,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/dwarf2.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l5819
binutils,BUG-023,archive.c,2322,_bfd_write_archive_contents,SEGV,unknown,cpp_cwe-416-use-after-realloc,1,3629_archive.c_2436_sailor_cpp_cwe-416-use-after-realloc,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/archive.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l2322
binutils,BUG-024,ctf-create.c,331,ctf_dvd_lookup,heap-buffer-overflow,unknown,cpp_CWE-416_DirectFreeArgUseFast,1,3373_ctf-create.c_1370_sailor_cpp_CWE-416_DirectFreeArgUseFast,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=libctf/ctf-create.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l331
binutils,BUG-025,ctf-util.c,41,ctf_list_append,SEGV,unknown,cpp_CWE-416_DirectFreeArgUseFast,1,3469_ctf-create.c_483_sailor_cpp_CWE-416_DirectFreeArgUseFast,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=libctf/ctf-util.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l41
binutils,BUG-027,peXXigen.c,4433,_bfd_pei_final_link_postscript,SEGV,unknown,cpp_cwe-416-use-after-realloc,1,3774_peigen.c_4381_sailor_cpp_cwe-416-use-after-realloc,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/peXXigen.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l4433
binutils,BUG-030,peXXigen.c,4433,_bfd_pex64i_final_link_postscript,heap-buffer-overflow,unknown,cpp_cwe-416-use-after-realloc,1,3741_pex64igen.c_4381_sailor_cpp_cwe-416-use-after-realloc,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/peXXigen.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l4433
binutils,BUG-031,ctf-lookup.c,247,ctf_lookup_by_name_internal,heap-buffer-overflow,unknown,cpp_CWE-416_DirectFreeArgUseFast,1,3474_ctf-lookup.c_276_sailor_cpp_CWE-416_DirectFreeArgUseFast,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=libctf/ctf-lookup.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l247
binutils,BUG-037,ctf-lookup.c,247,ctf_lookup_by_name_internal,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,1916_ctf-lookup.c_250_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=libctf/ctf-lookup.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l247
binutils,BUG-039,cofflink.c,1411,_bfd_coff_link_input_bfd,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,951_cofflink.c_1211_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/cofflink.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l1411
binutils,BUG-041,elf-eh-frame.c,1964,_bfd_elf_write_section_eh_frame,heap-buffer-overflow,unknown,cpp_cwe-787-oob-write,1,2580_elf-eh-frame.c_1959_local_cpp_cwe-787-oob-write,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/elf-eh-frame.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l1964
binutils,BUG-046,peXXigen.c,2771,_bfd_pe_print_private_bfd_data_common,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,1224_peigen.c_2695_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/peXXigen.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l2771
binutils,BUG-047,coffgen.c,309,coff_real_object_p,heap-buffer-overflow,unknown,cpp_CWE-416_DirectFreeArgUseFast,1,3186_coffgen.c_1825_sailor_cpp_CWE-416_DirectFreeArgUseFast,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/coffgen.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l309
binutils,BUG-048,bfd.h,2327,bfd_get_filename,heap-buffer-overflow,unknown,cpp_CWE-416_DirectFreeArgUseFast,1,3199_syms.c_1088_sailor_cpp_CWE-416_DirectFreeArgUseFast,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/bfd.h;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l2327
binutils,BUG-049,pex-common.c,172,pex_run_in_environment,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,2407_pex-common.c_263_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=libiberty/pex-common.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l172
binutils,BUG-050,bfd.h,2327,bfd_get_filename,heap-buffer-overflow,unknown,cpp_CWE-416_DirectFreeArgUseFast,1,3200_syms.c_1179_sailor_cpp_CWE-416_DirectFreeArgUseFast,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/bfd.h;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l2327
binutils,BUG-054,dwarf1.c,605,_bfd_dwarf1_cleanup_debug_info,heap-buffer-overflow,unknown,cpp_CWE-416_DirectFreeArgUseFast,1,3158_dwarf1.c_606_sailor_cpp_CWE-416_DirectFreeArgUseFast,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/dwarf1.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l605
binutils,BUG-057,elf.c,4699,_bfd_elf_compute_section_file_positions,SEGV,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,1028_elf.c_6112_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/elf.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l4699
binutils,BUG-059,coffgen.c,565,_bfd_coff_internal_syment_name,stack-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,948_coffgen.c_566_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/coffgen.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l565
binutils,BUG-075,hashtab.c,184,higher_prime_index,SEGV,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,2116_hashtab.c_175_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=libiberty/hashtab.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l184
binutils,BUG-077,elf-sframe.c,232,_bfd_elf_parse_sframe,heap-buffer-overflow,unknown,cpp_cwe-476-unchecked-alloc-deref,1,2867_elf-sframe.c_219_sailor_cpp_cwe-476-unchecked-alloc-deref,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/elf-sframe.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l232
binutils,BUG-081,dwarf2.c,5713,_bfd_dwarf2_find_symbol_bias,heap-buffer-overflow,unknown,cpp_cwe-476-unchecked-alloc-deref,1,2869_dwarf2.c_2843_sailor_cpp_cwe-476-unchecked-alloc-deref,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/dwarf2.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l5713
binutils,BUG-096,elfxx-x86.c,3802,_bfd_x86_elf_get_synthetic_symtab,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,994_elfxx-x86.c_3869_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/elfxx-x86.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l3802
binutils,BUG-101,hash.c,400,higher_prime_number,SEGV,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,997_hash.c_389_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/hash.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l400
binutils,BUG-108,dwarf2.c,5819,_bfd_dwarf2_find_nearest_line_with_alt,SEGV,unknown,cpp_CWE-416_DirectFreeArgUseFast,1,3168_dwarf2.c_6119_sailor_cpp_CWE-416_DirectFreeArgUseFast,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/dwarf2.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l5819
binutils,BUG-114,dwarf2.c,5713,_bfd_dwarf2_find_symbol_bias,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,950_dwarf2.c_2843_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/dwarf2.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l5713
binutils,BUG-115,ctf-dump.c,769,ctf_dump,heap-buffer-overflow,unknown,cpp_CWE-416_DirectFreeArgUseFast,1,3403_ctf-dump.c_401_sailor_cpp_CWE-416_DirectFreeArgUseFast,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=libctf/ctf-dump.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l769
binutils,BUG-117,ctf-create.c,367,ctf_rollback,heap-buffer-overflow,unknown,cpp_CWE-416_DirectFreeArgUseFast,1,3471_ctf-create.c_325_sailor_cpp_CWE-416_DirectFreeArgUseFast,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=libctf/ctf-create.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l367
binutils,BUG-120,ctf-dump.c,770,ctf_dump,heap-buffer-overflow,unknown,cpp_CWE-416_DirectFreeArgUseFast,1,3404_ctf-dump.c_79_sailor_cpp_CWE-416_DirectFreeArgUseFast,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=libctf/ctf-dump.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l770
binutils,BUG-122,elfxx-x86.c,2286,_bfd_x86_elf_late_size_sections,heap-buffer-overflow,unknown,cpp_cwe-120-overflow,1,195_elfxx-x86.c_2683_local_cpp_cwe-120-overflow,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/elfxx-x86.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l2286
binutils,BUG-125,ctf-lookup.c,247,ctf_lookup_by_name_internal,heap-buffer-overflow,unknown,cpp_cwe-120-overflow,1,533_ctf-lookup.c_37_local_cpp_cwe-120-overflow,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=libctf/ctf-lookup.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l247
binutils,BUG-126,bfd.h,2339,bfd_get_format,heap-buffer-overflow,CWE-416,wmi-2-type-confusion-leak,1,10845_elflink.c_6090_sailor_wmi-2-type-confusion-leak,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/bfd.h;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l2339
binutils,BUG-128,ctf-lookup.c,1130,ctf_lookup_by_sym_or_name,heap-buffer-overflow,CWE-416,wmi-2-type-confusion-leak,1,13898_ctf-create.c_1398_sailor_wmi-2-type-confusion-leak,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=libctf/ctf-lookup.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l1130
binutils,BUG-131,elf-strtab.c,393,_bfd_elf_strtab_finalize,heap-buffer-overflow,CWE-416,wmi-2-type-confusion-leak,1,4592_elf-strtab.c_393_sailor_wmi-2-type-confusion-leak,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/elf-strtab.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l393
binutils,BUG-132,bfd.h,7881,bfd_get_flavour,SEGV,CWE-416,wmi-2-type-confusion-leak,1,8146_elf.c_7944_sailor_wmi-2-type-confusion-leak,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/bfd.h;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l7881
binutils,BUG-133,cache.c,598,_bfd_cache_close_unlocked,heap-buffer-overflow,CWE-416,wmi-2-type-confusion-leak,1,4190_cache.c_597_sailor_wmi-2-type-confusion-leak,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=bfd/cache.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l598
binutils,BUG-136,ctf-lookup.c,901,ctf_symbol_next_static,heap-buffer-overflow,CWE-416,wmi-2-type-confusion-leak,1,17819_ctf-serialize.c_134_sailor_wmi-2-type-confusion-leak,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=libctf/ctf-lookup.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l901
binutils,BUG-137,dyn-string.c,175,dyn_string_clear,SEGV,CWE-416,wmi-2-type-confusion-leak,1,16560_dyn-string.c_175_sailor_wmi-2-type-confusion-leak,in-pipeline,,,,,https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=libiberty/dyn-string.c;hb=b2bc71a12976fc169295662ab17f692f13d167d2#l175
