Project,BugID,CrashFile,CrashLine,CrashFunction,CrashType,CWE,CodeQLRules,NumSpecs,RepresentativeSpec,Source,KleeRuns,AgentTurns,AgentTokens,AgentTimeSec,SourceURL
ffmpeg,BUG-001,adts_parser.c,38,__interceptor_memcpy,heap-buffer-overflow,CWE-787,cpp_cwe-120-overflow,12,019_adts_parser.c_38_local_cpp_cwe-120-overflow,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/adts_parser.c#L38
ffmpeg,BUG-002,atrac3plusdsp.c,607,__interceptor_memset,heap-buffer-overflow,CWE-787,cpp_cwe-120-overflow,15,105_atrac3plusdsp.c_607_local_cpp_cwe-120-overflow,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/atrac3plusdsp.c#L607
ffmpeg,BUG-003,roqvideo.c,47,ff_apply_vector_2x2,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,10142_roqvideo.c_47_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/roqvideo.c#L47
ffmpeg,BUG-004,vc1_pred.c,892,ff_vc1_pred_b_mv_intfi,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,11094_vc1_pred.c_899_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/vc1_pred.c#L892
ffmpeg,BUG-005,packet.c,499,av_packet_make_refcounted,heap-buffer-overflow,CWE-787,cpp_cwe-120-overflow,1,1141_packet.c_504_local_cpp_cwe-120-overflow,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/packet.c#L499
ffmpeg,BUG-006,vc1_mc.c,847,ff_vc1_mc_4mv_chroma4,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,11482_vc1_mc.c_847_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/vc1_mc.c#L847
ffmpeg,BUG-007,packet.c,398,av_packet_copy_props,heap-buffer-overflow,CWE-787,cpp_cwe-120-overflow,2,1146_packet.c_453_local_cpp_cwe-120-overflow,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/packet.c#L398
ffmpeg,BUG-008,psymodel.c,63,ff_psy_init,heap-buffer-overflow,CWE-787,cpp_cwe-120-overflow,1,1162_psymodel.c_49_local_cpp_cwe-120-overflow,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/psymodel.c#L63
ffmpeg,BUG-009,vc1_pred.c,228,ff_vc1_pred_mv,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,12078_vc1_pred.c_550_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/vc1_pred.c#L228
ffmpeg,BUG-010,simple_idct.c,113,ff_simple_idct248_put,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,13517_simple_idct.c_113_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/simple_idct.c#L113
ffmpeg,BUG-011,vc1_loopfilter.c,166,ff_vc1_p_overlap_filter,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,14894_vc1_loopfilter.c_178_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/vc1_loopfilter.c#L166
ffmpeg,BUG-012,vp3dsp.c,263,idct10,heap-buffer-overflow,CWE-787,cpp_cwe-120-overflow,1,1508_vp3dsp.c_350_local_cpp_cwe-120-overflow,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/vp3dsp.c#L263
ffmpeg,BUG-013,bwdifdsp.c,141,ff_bwdif_filter_line_c,heap-buffer-overflow,CWE-125,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,15284_bwdifdsp.c_141_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavfilter/bwdifdsp.c#L141
ffmpeg,BUG-014,aacenc_pred.c,236,ff_aac_search_for_pred,SEGV,CWE-787,cpp_cwe-120-overflow,1,064_aacenc_pred.c_249_local_cpp_cwe-120-overflow,v2-batch,,,,,https://github.com/FFmpeg/FFmpeg/blob/f46e5144/libavcodec/aacenc_pred.c#L236
