Project,BugID,CrashFile,CrashLine,CrashFunction,CrashType,CWE,CodeQLRules,NumSpecs,RepresentativeSpec,Source,KleeRuns,AgentTurns,AgentTokens,AgentTimeSec,SourceURL
libpng,BUG-002,pngrutil.c,3410,png_combine_row,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,143_pngrutil.c_3725_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://github.com/pnggroup/libpng/blob/747dd02/pngrutil.c#L3410
libpng,BUG-003,pngrio.c,35,png_read_data,heap-use-after-free,CWE-416,wmi-2-type-confusion-leak,1,184_pngrutil.c_4904_sailor_wmi-2-type-confusion-leak,in-pipeline,,,,,https://github.com/pnggroup/libpng/blob/747dd02/pngrio.c#L35
libpng,BUG-005,pngmem.c,91,png_malloc_base,heap-use-after-free,CWE-416,wmi-2-type-confusion-leak,1,311_pngset.c_541_sailor_wmi-2-type-confusion-leak,in-pipeline,,,,,https://github.com/pnggroup/libpng/blob/747dd02/pngmem.c#L91
libpng,BUG-006,pngset.c,1684,png_set_keep_unknown_chunks,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,068_pngset.c_1795_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://github.com/pnggroup/libpng/blob/747dd02/pngset.c#L1684
libpng,BUG-009,pngwutil.c,212,png_write_chunk,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,132_pngwutil.c_212_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://github.com/pnggroup/libpng/blob/747dd02/pngwutil.c#L212
libpng,BUG-011,pngset.c,2067,png_check_keyword,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,134_pngwutil.c_56_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://github.com/pnggroup/libpng/blob/747dd02/pngset.c#L2067
libpng,BUG-012,pngerror.c,54,png_error,SEGV,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,128_pngwutil.c_274_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://github.com/pnggroup/libpng/blob/747dd02/pngerror.c#L54
libpng,BUG-014,pngwutil.c,135,png_write_chunk_start,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,133_pngwutil.c_135_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://github.com/pnggroup/libpng/blob/747dd02/pngwutil.c#L135
libpng,BUG-016,png.c,3996,png_image_free,heap-use-after-free,unknown,kernel-lifecycle-mismatch,1,574_png.c_3995_sailor_kernel-lifecycle-mismatch,in-pipeline,,,,,https://github.com/pnggroup/libpng/blob/747dd02/png.c#L3996
libpng,BUG-017,png.c,490,png_free_data,heap-use-after-free,CWE-416,wmi-2-type-confusion-leak,1,514_png.c_631_sailor_wmi-2-type-confusion-leak,in-pipeline,,,,,https://github.com/pnggroup/libpng/blob/747dd02/png.c#L490
libpng,BUG-019,pngset.c,751,png_set_PLTE,heap-use-after-free,CWE-416,wmi-2-type-confusion-leak,1,287_pngset.c_751_sailor_wmi-2-type-confusion-leak,in-pipeline,,,,,https://github.com/pnggroup/libpng/blob/747dd02/pngset.c#L751
libpng,BUG-020,pngget.c,290,png_get_x_offset_pixels,heap-use-after-free,CWE-416,wmi-2-type-confusion-leak,1,357_pngget.c_290_sailor_wmi-2-type-confusion-leak,in-pipeline,,,,,https://github.com/pnggroup/libpng/blob/747dd02/pngget.c#L290
libpng,BUG-021,pngrtran.c,4826,png_do_read_transformations,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,127_pngrtran.c_2475_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://github.com/pnggroup/libpng/blob/747dd02/pngrtran.c#L4826
libpng,BUG-023,pngwrite.c,90,png_write_info_before_PLTE,heap-use-after-free,CWE-416,wmi-2-type-confusion-leak,1,468_pngwrite.c_157_sailor_wmi-2-type-confusion-leak,in-pipeline,,,,,https://github.com/pnggroup/libpng/blob/747dd02/pngwrite.c#L90
libpng,BUG-025,png.c,490,png_free_data,heap-use-after-free,CWE-416,wmi-2-type-confusion-leak,1,437_png.c_516_sailor_wmi-2-type-confusion-leak,in-pipeline,,,,,https://github.com/pnggroup/libpng/blob/747dd02/png.c#L490
