BugID,File,Line,Function,ErrorType,NumSpecs,RepresentativeSpec
SEL-001,cil/src/cil.c,1524,cil_userprefixes_to_string,heap-buffer-overflow,1,10514_cil.c_1531_sailor_wmi-2-type-confusion-leak
SEL-002,cil/src/cil.c,2804,cil_classperms_set_init,SEGV,1,11801_cil_build_ast.c_796_sailor_wmi-2-type-confusion-leak
SEL-003,cil/src/cil_binary.c,524,cil_typealias_to_policydb,heap-buffer-overflow,1,11699_cil_binary.c_534_sailor_wmi-2-type-confusion-leak
SEL-004,cil/src/cil_binary.c,595,cil_typeattribute_to_policydb,heap-buffer-overflow,1,11672_cil_binary.c_595_sailor_wmi-2-type-confusion-leak
SEL-005,cil/src/cil_binary.c,889,cil_sensitivityorder_to_policydb,heap-buffer-overflow,1,11565_cil_binary.c_889_sailor_wmi-2-type-confusion-leak
SEL-006,cil/src/cil_binary.c,2746,cil_roleallow_to_policydb,heap-use-after-free,1,10200_cil_binary.c_2749_sailor_wmi-2-type-confusion-leak
SEL-007,cil/src/cil_build_ast.c,469,cil_gen_blockabstract,heap-buffer-overflow,2,11892_cil_build_ast.c_481_sailor_wmi-2-type-confusion-leak
SEL-008,cil/src/cil_build_ast.c,647,cil_gen_perm,heap-use-after-free,1,11856_cil_build_ast.c_647_sailor_wmi-2-type-confusion-leak
SEL-009,cil/src/cil_list.c,53,cil_list_init,heap-buffer-overflow,1,10055_cil_resolve_ast.c_1490_sailor_wmi-2-type-confusion-leak
SEL-010,cil/src/cil_list.c,93,cil_list_item_destroy,heap-use-after-free,1,1354_cil_list.c_93_sailor_wmi-2-type-confusion-leak
SEL-011,cil/src/cil_resolve_ast.c,1440,cil_resolve_classorder,heap-buffer-overflow,1,10104_cil_resolve_ast.c_1448_sailor_wmi-2-type-confusion-leak
SEL-012,cil/src/cil_symtab.c,154,cil_complex_symtab_hash,heap-buffer-overflow,2,1219_cil_symtab.c_194_sailor_wmi-2-type-confusion-leak
SEL-013,cil/src/cil_symtab.c,276,cil_complex_symtab_destroy,SEGV,1,1206_cil_symtab.c_189_sailor_wmi-2-type-confusion-leak
SEL-014,cil/src/cil_tree.c,204,cil_tree_children_destroy,heap-use-after-free,2,11843_cil_build_ast.c_703_sailor_wmi-2-type-confusion-leak
SEL-015,cil/src/cil_verify.c,154,__cil_verify_syntax,heap-use-after-free,2,11254_cil_build_ast.c_2379_sailor_wmi-2-type-confusion-leak
SEL-016,cil/src/cil_verify.c,155,__cil_verify_syntax,heap-buffer-overflow,3,11414_cil_build_ast.c_1946_sailor_wmi-2-type-confusion-leak
SEL-017,interceptor/boolean,389,__interceptor_strlen,heap-use-after-free,1,1770_boolean_record.c_57_sailor_wmi-2-type-confusion-leak
