Project,BugID,CrashFile,CrashLine,CrashFunction,CrashType,CWE,CodeQLRules,NumSpecs,RepresentativeSpec,Source,KleeRuns,AgentTurns,AgentTokens,AgentTimeSec,SourceURL
libtiff,BUG-001,tif_swab.c,231,TIFFSwabArrayOfDouble,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,747_tif_swab.c_231_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://gitlab.com/libtiff/libtiff/-/blob/f324415/libtiff/tif_swab.c#L231
libtiff,BUG-002,tif_swab.c,189,TIFFSwabArrayOfFloat,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,780_tif_swab.c_189_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://gitlab.com/libtiff/libtiff/-/blob/f324415/libtiff/tif_swab.c#L189
libtiff,BUG-006,tif_swab.c,206,TIFFSwabDouble,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,761_tif_swab.c_206_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://gitlab.com/libtiff/libtiff/-/blob/f324415/libtiff/tif_swab.c#L206
libtiff,BUG-007,tif_swab.c,126,TIFFSwabArrayOfLong,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,809_tif_swab.c_126_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://gitlab.com/libtiff/libtiff/-/blob/f324415/libtiff/tif_swab.c#L126
libtiff,BUG-008,tif_swab.c,38,TIFFSwabShort,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,839_tif_swab.c_38_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://gitlab.com/libtiff/libtiff/-/blob/f324415/libtiff/tif_swab.c#L38
libtiff,BUG-011,tif_swab.c,170,TIFFSwabFloat,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,788_tif_swab.c_170_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://gitlab.com/libtiff/libtiff/-/blob/f324415/libtiff/tif_swab.c#L170
libtiff,BUG-012,tif_swab.c,50,TIFFSwabLong,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,833_tif_swab.c_50_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://gitlab.com/libtiff/libtiff/-/blob/f324415/libtiff/tif_swab.c#L50
libtiff,BUG-014,tif_swab.c,65,TIFFSwabLong8,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,821_tif_swab.c_65_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://gitlab.com/libtiff/libtiff/-/blob/f324415/libtiff/tif_swab.c#L65
libtiff,BUG-015,tif_swab.c,90,TIFFSwabArrayOfShort,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,818_tif_swab.c_90_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://gitlab.com/libtiff/libtiff/-/blob/f324415/libtiff/tif_swab.c#L90
libtiff,BUG-021,tif_swab.c,50,TIFFSwabLong,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,837_tif_swab.c_54_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://gitlab.com/libtiff/libtiff/-/blob/f324415/libtiff/tif_swab.c#L50
libtiff,BUG-038,tif_dirinfo.c,569,_TIFFSetupFields,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,242_tif_dir.c_1786_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://gitlab.com/libtiff/libtiff/-/blob/f324415/libtiff/tif_dirinfo.c#L569
libtiff,BUG-040,tif_swab.c,314,TIFFReverseBits,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,720_tif_swab.c_314_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://gitlab.com/libtiff/libtiff/-/blob/f324415/libtiff/tif_swab.c#L314
libtiff,BUG-043,tif_swab.c,147,TIFFSwabArrayOfLong8,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,795_tif_swab.c_147_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://gitlab.com/libtiff/libtiff/-/blob/f324415/libtiff/tif_swab.c#L147
libtiff,BUG-047,tif_error.c,110,TIFFErrorExtR,heap-use-after-free,unknown,cpp_cwe-416-use-after-realloc,1,1310_tif_write.c_503_sailor_cpp_cwe-416-use-after-realloc,in-pipeline,,,,,https://gitlab.com/libtiff/libtiff/-/blob/f324415/libtiff/tif_error.c#L110
libtiff,BUG-066,tif_swab.c,65,TIFFSwabLong8,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,825_tif_swab.c_69_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://gitlab.com/libtiff/libtiff/-/blob/f324415/libtiff/tif_swab.c#L65
libtiff,BUG-067,tif_swab.c,318,TIFFReverseBits,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,729_tif_swab.c_318_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://gitlab.com/libtiff/libtiff/-/blob/f324415/libtiff/tif_swab.c#L318
libtiff,BUG-072,tif_swab.c,147,TIFFSwabArrayOfLong8,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,801_tif_swab.c_153_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://gitlab.com/libtiff/libtiff/-/blob/f324415/libtiff/tif_swab.c#L147
libtiff,BUG-073,tif_swab.c,206,TIFFSwabDouble,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,775_tif_swab.c_215_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://gitlab.com/libtiff/libtiff/-/blob/f324415/libtiff/tif_swab.c#L206
libtiff,BUG-074,tif_swab.c,65,TIFFSwabLong8,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,826_tif_swab.c_70_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://gitlab.com/libtiff/libtiff/-/blob/f324415/libtiff/tif_swab.c#L65
libtiff,BUG-076,tif_swab.c,170,TIFFSwabFloat,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,791_tif_swab.c_173_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://gitlab.com/libtiff/libtiff/-/blob/f324415/libtiff/tif_swab.c#L170
libtiff,BUG-079,tif_swab.c,206,TIFFSwabDouble,heap-buffer-overflow,unknown,cpp_cwe-125-cursor-lookahead-missing-bytes-check,1,762_tif_swab.c_207_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,,,,,https://gitlab.com/libtiff/libtiff/-/blob/f324415/libtiff/tif_swab.c#L206
