Project,BugID,CrashFile,CrashLine,CrashFunction,CrashType,CWE,CodeQLRules,NumSpecs,RepresentativeSpec,Source,KleeRuns,AgentTurns,AgentTokens,AgentTimeSec,SourceURL
libxml2,BUG-208,encoding.c,396,xmlDetectCharEncoding,stack-buffer-overflow,unknown,cwe-125-cursor-lookahead-missing-bytes-check,1,269_encoding.c_395_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,1,9,131841,487,https://gitlab.gnome.org/GNOME/libxml2/-/blob/e334a9d/encoding.c#L396
libxml2,BUG-166,encoding.c,2698,UTF16BEToUTF8,heap-buffer-overflow,unknown,cwe-125-cursor-lookahead-missing-bytes-check,1,207_encoding.c_2698_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,1,9,95026,319,https://gitlab.gnome.org/GNOME/libxml2/-/blob/e334a9d/encoding.c#L2698
libxml2,BUG-172,encoding.c,2729,UTF16BEToUTF8,heap-buffer-overflow,unknown,cwe-125-cursor-lookahead-missing-bytes-check,1,210_encoding.c_2729_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,1,10,108488,354,https://gitlab.gnome.org/GNOME/libxml2/-/blob/e334a9d/encoding.c#L2729
libxml2,BUG-235,parserInternals.c,2791,xmlInitSAXParserCtxt,heap-use-after-free,unknown,CWE-416_DirectFreeArgUseFast,1,1051_parser.c_11529_sailor_cpp_CWE-416_DirectFreeArgUseFast,in-pipeline,1,9,122330,386,https://gitlab.gnome.org/GNOME/libxml2/-/blob/e334a9d/parserInternals.c#L2791
libxml2,BUG-340,relaxng.c,7305,xmlRelaxNGParse,SEGV,unknown,cwe-674-uncontrolled-recursion,1,899_relaxng.c_6340_sailor_cpp_cwe-674-uncontrolled-recursion,in-pipeline,1,8,78306,246,https://gitlab.gnome.org/GNOME/libxml2/-/blob/e334a9d/relaxng.c#L7305
libxml2,BUG-358,relaxng.c,8271,xmlRelaxNGValidateFullElement,SEGV,unknown,cwe-674-uncontrolled-recursion,1,855_relaxng.c_8834_sailor_cpp_cwe-674-uncontrolled-recursion,in-pipeline,1,12,142597,351,https://gitlab.gnome.org/GNOME/libxml2/-/blob/e334a9d/relaxng.c#L8271
libxml2,BUG-353,threads.c,114,xmlFreeMutex,double-free,CWE-416,wmi-2-type-confusion-leak,1,1317_threads.c_94_sailor_wmi-2-type-confusion-leak,in-pipeline,2,13,141922,429,https://gitlab.gnome.org/GNOME/libxml2/-/blob/e334a9d/threads.c#L114
libxml2,BUG-205,uri.c,1497,xmlNormalizePath,heap-buffer-overflow,unknown,cwe-125-cursor-lookahead-missing-bytes-check,1,429_uri.c_1497_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check,in-pipeline,1,9,98841,263,https://gitlab.gnome.org/GNOME/libxml2/-/blob/e334a9d/uri.c#L1497
libxml2,BUG-359,valid.c,2506,xmlWalkRemoveRef,heap-buffer-overflow,CWE-416,wmi-2-type-confusion-leak,1,1324_valid.c_2507_sailor_wmi-2-type-confusion-leak,in-pipeline,1,18,182793,528,https://gitlab.gnome.org/GNOME/libxml2/-/blob/e334a9d/valid.c#L2506
libxml2,BUG-374,xmlschemas.c,2198,xmlSchemaFormatNodeForError,heap-buffer-overflow,unknown,kernel-lifecycle-mismatch,1,1685_xmlschemas.c_18598_sailor_kernel-lifecycle-mismatch,in-pipeline,1,27,282109,583,https://gitlab.gnome.org/GNOME/libxml2/-/blob/e334a9d/xmlschemas.c#L2198
libxml2,BUG-466,xmlschemas.c,2198,xmlSchemaFormatNodeForError,heap-use-after-free,unknown,kernel-lifecycle-mismatch,1,1956_xmlschemas.c_9254_sailor_kernel-lifecycle-mismatch,in-pipeline,1,11,334425,444,https://gitlab.gnome.org/GNOME/libxml2/-/blob/e334a9d/xmlschemas.c#L2198
libxml2,BUG-449,xmlschemas.c,2198,xmlSchemaFormatNodeForError,heap-use-after-free,unknown,kernel-lifecycle-mismatch,1,1919_xmlschemas.c_11067_sailor_kernel-lifecycle-mismatch,in-pipeline,2,10,201243,336,https://gitlab.gnome.org/GNOME/libxml2/-/blob/e334a9d/xmlschemas.c#L2198
libxml2,BUG-062,xmlschemas.c,1879,xmlSchemaPErrFull,heap-use-after-free,unknown,kernel-lifecycle-mismatch,2,1929_xmlschemas.c_11099_sailor_kernel-lifecycle-mismatch,in-pipeline,1,9,230028,538,https://gitlab.gnome.org/GNOME/libxml2/-/blob/e334a9d/xmlschemas.c#L1879
libxml2,BUG-463,xmlschemas.c,2198,xmlSchemaFormatNodeForError,heap-use-after-free,unknown,kernel-lifecycle-mismatch,1,1938_xmlschemas.c_11148_sailor_kernel-lifecycle-mismatch,in-pipeline,1,12,263071,493,https://gitlab.gnome.org/GNOME/libxml2/-/blob/e334a9d/xmlschemas.c#L2198
libxml2,BUG-454,xmlschemas.c,2198,xmlSchemaFormatNodeForError,heap-use-after-free,unknown,kernel-lifecycle-mismatch,1,1939_xmlschemas.c_11153_sailor_kernel-lifecycle-mismatch,in-pipeline,2,10,203061,331,https://gitlab.gnome.org/GNOME/libxml2/-/blob/e334a9d/xmlschemas.c#L2198
libxml2,BUG-458,xmlschemas.c,2198,xmlSchemaFormatNodeForError,heap-use-after-free,unknown,kernel-lifecycle-mismatch,1,1882_xmlschemas.c_12305_sailor_kernel-lifecycle-mismatch,in-pipeline,1,11,332982,664,https://gitlab.gnome.org/GNOME/libxml2/-/blob/e334a9d/xmlschemas.c#L2198
