BugID,File,Line,Function,ErrorType,NumSpecs,RepresentativeSpec
MU-001,source/fitz/bitmap.c,337,fz_clear_bitmap,heap-buffer-overflow,1,048_bitmap.c_337_local_cpp_cwe-120-overflow
MU-002,source/fitz/buffer.c,263,fz_terminate_buffer,heap-buffer-overflow,1,5362_xml.c_1272_sailor_cpp_cwe-476-unchecked-alloc-deref
MU-003,source/fitz/buffer.c,273,fz_buffer_storage,heap-buffer-overflow,1,5933_pdf-xref.c_135_sailor_cpp_cwe-416-use-after-realloc
MU-004,source/fitz/buffer.c,323,fz_append_buffer,heap-buffer-overflow,1,5028_buffer.c_329_local_cpp_cwe-787-oob-write
MU-005,source/fitz/colorspace.c,1668,fz_convert_slow_pixmap_samples,heap-buffer-overflow,2,084_colorspace.c_1599_local_cpp_cwe-120-overflow
MU-006,source/fitz/colorspace.c,1675,fz_convert_slow_pixmap_samples,heap-buffer-overflow,1,086_colorspace.c_1605_local_cpp_cwe-120-overflow
MU-007,source/fitz/colorspace.c,1678,fz_convert_slow_pixmap_samples,heap-buffer-overflow,1,100_colorspace.c_1634_local_cpp_cwe-120-overflow
MU-008,source/fitz/colorspace.c,243,fz_colorspace_is_subtractive,SEGV,1,1150_draw-blend.c_930_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-009,source/fitz/colorspace.c,585,fz_clamp_color,heap-buffer-overflow,1,1703_colorspace.c_594_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-010,source/fitz/colorspace.c,598,fz_clamp_color,heap-buffer-overflow,1,1700_colorspace.c_587_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-011,source/fitz/colorspace.c,666,fz_default_output_intent,heap-buffer-overflow,1,6192_colorspace.c_666_sailor_kernel-lifecycle-mismatch
MU-012,source/fitz/colorspace.c,992,fz_find_color_converter,stack-buffer-overflow,1,208_colorspace.c_840_local_cpp_cwe-120-overflow
MU-013,source/fitz/colorspace.c,994,fz_find_color_converter,heap-buffer-overflow,1,207_colorspace.c_839_local_cpp_cwe-120-overflow
MU-014,source/fitz/crypt-aes.c,406,fz_aes_crypt_ecb,stack-buffer-overflow,1,003_crypt-aes.c_511_local_cpp_cwe-120-overflow
MU-015,source/fitz/crypt-aes.c,408,fz_aes_crypt_ecb,SEGV,1,1040_crypt-aes.c_475_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-016,source/fitz/draw-blend.c,1135,fz_blend_pixmap,stack-buffer-overflow,1,1438_draw-blend.c_571_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-017,source/fitz/draw-paint.c,2438,fz_paint_pixmap_alpha,heap-buffer-overflow,1,3075_draw-paint.c_2419_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-018,source/fitz/error.c,233,fz_push_try,heap-buffer-overflow,1,046_glyph.c_286_local_cpp_cwe-120-overflow
MU-019,source/fitz/error.c,335,fz_vthrow,heap-buffer-overflow,1,016_filter-fax.c_835_local_cpp_cwe-120-overflow
MU-020,source/fitz/font.c,1307,get_gid_bbox,heap-buffer-overflow,1,564_font.c_1313_local_cpp_cwe-120-overflow
MU-021,source/fitz/font.c,2255,fz_extract_ttf_from_ttc,heap-buffer-overflow,1,465_font.c_2352_local_cpp_cwe-120-overflow
MU-022,source/fitz/halftone.c,571,fz_new_bitmap_from_pixmap_band,heap-buffer-overflow,1,1083_halftone.c_513_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-023,source/fitz/image.c,1340,fz_new_image_from_buffer,heap-buffer-overflow,1,1620_image.c_1300_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-024,source/fitz/image.c,610,fz_decomp_image_from_stream,heap-buffer-overflow,1,5107_image.c_200_local_cpp_cwe-787-oob-write
MU-025,source/fitz/load-bmp.c,1345,fz_load_bmp_subimage,heap-buffer-overflow,1,1125_load-bmp.c_1345_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-026,source/fitz/load-bmp.c,1407,fz_load_bmp_info_subimage,heap-buffer-overflow,1,1086_load-bmp.c_1419_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-027,source/fitz/memory.c,378,fz_lock_debug_lock,heap-buffer-overflow,1,065_path.c_1505_local_cpp_cwe-120-overflow
MU-028,source/fitz/output.c,500,fz_write_buffer,heap-buffer-overflow,1,224_output.c_479_local_cpp_cwe-120-overflow
MU-029,source/fitz/path.c,226,fz_pack_path,heap-buffer-overflow,1,247_path.c_260_local_cpp_cwe-120-overflow
MU-030,source/fitz/pixmap.c,200,fz_clone_pixmap,heap-buffer-overflow,1,462_pixmap.c_201_local_cpp_cwe-120-overflow
MU-031,source/fitz/pixmap.c,211,fz_pixmap_bbox,heap-buffer-overflow,1,445_pixmap.c_749_local_cpp_cwe-120-overflow
MU-032,source/fitz/pixmap.c,220,fz_pixmap_bbox_no_ctx,heap-buffer-overflow,1,021_draw-blend.c_1289_local_cpp_cwe-120-overflow
MU-033,source/fitz/pixmap.c,802,fz_alpha_from_gray,heap-buffer-overflow,1,440_pixmap.c_814_local_cpp_cwe-120-overflow
MU-034,source/fitz/printf.c,547,fz_format_string,heap-buffer-overflow,1,158_pdf-cmap.c_706_local_cpp_cwe-120-overflow
MU-035,source/fitz/shade.c,992,fz_process_shade,heap-buffer-overflow,1,074_shade.c_963_local_cpp_cwe-120-overflow
MU-036,source/fitz/shade.c,994,fz_process_shade,heap-buffer-overflow,1,069_shade.c_946_local_cpp_cwe-120-overflow
MU-037,source/fitz/store.c,580,fz_find_item,heap-buffer-overflow,1,1536_pdf-shade.c_95_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-038,source/fitz/stream-read.c,176,fz_seek,stack-buffer-overflow,1,079_uncfb.c_554_local_cpp_cwe-120-overflow
MU-039,source/fitz/subset-cff.c,2067,fz_subset_cff_for_gids,heap-buffer-overflow,1,1881_subset-cff.c_284_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-040,source/fitz/warp.c,287,fz_warp_pixmap,heap-buffer-overflow,1,1000_warp.c_303_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-041,source/fitz/xml.c,235,fz_xml_is_tag,stack-buffer-overflow,1,1421_xps-common.c_283_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-042,source/html/xml-dom.c,556,fz_dom_remove_attribute,heap-buffer-overflow,1,6078_xml-dom.c_569_sailor_kernel-lifecycle-mismatch
MU-043,source/pdf/pdf-cmap.c,698,add_mrange,heap-buffer-overflow,1,5206_pdf-cmap.c_706_local_cpp_cwe-823-pointer-offset
MU-044,source/pdf/pdf-crypt.c,1064,pdf_compute_object_key,heap-buffer-overflow,1,313_pdf-crypt.c_1146_local_cpp_cwe-120-overflow
MU-045,source/pdf/pdf-crypt.c,784,pdf_authenticate_password,heap-buffer-overflow,1,366_pdf-crypt.c_724_local_cpp_cwe-120-overflow
MU-046,source/pdf/pdf-crypt.c,821,pdf_needs_password,heap-buffer-overflow,1,1944_pdf-crypt.c_787_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-047,source/pdf/pdf-object.c,1784,prepare_object_for_alteration,SEGV,1,5287_pdf-object.c_2004_local_cpp_cwe-823-pointer-offset
MU-048,source/pdf/pdf-object.c,2224,pdf_dict_put_val_null,heap-buffer-overflow,1,6457_pdf-object.c_2228_sailor_kernel-lifecycle-mismatch
MU-049,source/pdf/pdf-page.c,36,pdf_count_pages,heap-buffer-overflow,1,6166_pdf-page.c_1348_sailor_kernel-lifecycle-mismatch
MU-050,source/pdf/pdf-repair.c,367,pdf_repair_xref,heap-buffer-overflow,1,5748_pdf-repair.c_611_sailor_cpp_cwe-416-use-after-realloc
MU-051,source/pdf/pdf-xref.c,2823,pdf_delete_object,heap-buffer-overflow,1,6359_pdf-xref.c_2796_sailor_kernel-lifecycle-mismatch
MU-052,source/pdf/pdf-xref.c,2920,pdf_update_object,heap-buffer-overflow,1,6333_pdf-xref.c_2858_sailor_kernel-lifecycle-mismatch
MU-053,source/xps/xps-common.c,101,xps_begin_opacity,heap-buffer-overflow,1,1475_xps-common.c_307_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-054,source/xps/xps-util.c,58,skip_scheme,SEGV,1,1473_xps-util.c_133_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-055,source/xps/xps-util.c,96,skip_authority,heap-buffer-overflow,1,1499_xps-util.c_96_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-056,thirdparty/freetype/src/base/ftobjs.c,3720,FT_Select_Charmap,heap-buffer-overflow,1,3286_ftobjs.c_1437_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-057,thirdparty/freetype/src/base/ftobjs.c,5232,ft_module_get_service,heap-buffer-overflow,1,2318_ftobjs.c_5249_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-058,thirdparty/freetype/src/base/ftpsprop.c,244,ps_property_get,heap-buffer-overflow,1,4073_ftpsprop.c_245_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-059,thirdparty/freetype/src/base/ftpsprop.c,89,ps_property_set,heap-buffer-overflow,1,4136_ftpsprop.c_104_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-060,thirdparty/freetype/src/base/ftpsprop.c,93,ps_property_set,heap-buffer-overflow,1,4149_ftpsprop.c_108_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-061,thirdparty/freetype/src/base/ftstream.c,173,FT_Stream_TryRead,heap-buffer-overflow,1,718_ftstream.c_181_local_cpp_cwe-120-overflow
MU-062,thirdparty/freetype/src/base/ftutil.c,156,ft_mem_qrealloc,stack-buffer-overflow,1,728_ftutil.c_104_local_cpp_cwe-120-overflow
MU-063,thirdparty/gumbo-parser/src/tag.c,45,gumbo_tag_from_original_text,assertion-failure,1,1778_tag.c_48_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-064,thirdparty/gumbo-parser/src/util.c,35,gumbo_parser_allocate,SEGV,1,227_string_buffer.c_90_local_cpp_cwe-120-overflow
MU-065,thirdparty/jbig2dec/jbig2.c,187,jbig2_get_int16,heap-buffer-overflow,1,2131_jbig2.c_187_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-066,thirdparty/jbig2dec/jbig2.c,245,jbig2_data_in,heap-buffer-overflow,1,2112_jbig2.c_211_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-067,thirdparty/jbig2dec/jbig2.c,565,jbig2_realloc,heap-buffer-overflow,1,5089_jbig2_image.c_125_local_cpp_cwe-787-oob-write
MU-068,thirdparty/jbig2dec/jbig2.c,68,jbig2_alloc,heap-buffer-overflow,1,301_jbig2_arith_iaid.c_73_local_cpp_cwe-120-overflow
MU-069,thirdparty/jbig2dec/jbig2_arith.c,320,jbig2_arith_decode,heap-buffer-overflow,1,2124_jbig2_generic.c_598_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-070,thirdparty/jbig2dec/jbig2_generic.c,1349,jbig2_decode_generic_region,SEGV,1,2090_jbig2_generic.c_730_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-071,thirdparty/jbig2dec/jbig2_generic.c,1353,jbig2_decode_generic_region,heap-buffer-overflow,1,5256_jbig2_generic.c_890_local_cpp_cwe-823-pointer-offset
MU-072,thirdparty/jbig2dec/jbig2_generic.c,1403,jbig2_immediate_generic_region,heap-buffer-overflow,1,309_jbig2_generic.c_1489_local_cpp_cwe-120-overflow
MU-073,thirdparty/jbig2dec/jbig2_halftone.c,207,jbig2_pattern_dictionary,heap-buffer-overflow,1,1961_jbig2_halftone.c_214_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-074,thirdparty/jbig2dec/jbig2_huffman.c,544,jbig2_table,heap-buffer-overflow,1,5781_jbig2_huffman.c_652_sailor_cpp_cwe-416-use-after-realloc
MU-075,thirdparty/jbig2dec/jbig2_symbol_dict.c,208,jbig2_sd_cat,SEGV,1,439_jbig2_symbol_dict.c_110_local_cpp_cwe-120-overflow
MU-076,thirdparty/jbig2dec/jbig2_symbol_dict.c,873,jbig2_symbol_dictionary,heap-buffer-overflow,1,378_jbig2_symbol_dict.c_467_local_cpp_cwe-120-overflow
MU-077,thirdparty/lcms2/src/cmscgats.c,531,SynError,SEGV,1,322_cmscgats.c_2858_local_cpp_cwe-120-overflow
MU-078,thirdparty/lcms2/src/cmscnvrt.c,1199,_cmsRegisterRenderingIntentPlugin,heap-buffer-overflow,1,428_cmscnvrt.c_1200_local_cpp_cwe-120-overflow
MU-079,thirdparty/lcms2/src/cmserr.c,533,_cmsTagSignature2String,heap-buffer-overflow,1,1890_cmserr.c_533_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-080,thirdparty/lcms2/src/cmsgamma.c,861,cmsBuildTabulatedToneCurveFloat,SEGV,1,2408_cmsgamma.c_860_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-081,thirdparty/lcms2/src/cmsgamma.c,949,cmsFreeToneCurveTriple,heap-buffer-overflow,1,2367_cmsgamma.c_949_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
MU-082,thirdparty/lcms2/src/cmsio0.c,1045,cmsGetHeaderProfileID,heap-buffer-overflow,1,433_cmsio0.c_1045_local_cpp_cwe-120-overflow
MU-083,thirdparty/lcms2/src/cmsio0.c,1052,cmsSetHeaderProfileID,heap-buffer-overflow,1,432_cmsio0.c_1052_local_cpp_cwe-120-overflow
MU-084,thirdparty/lcms2/src/cmsio0.c,1095,cmsGetDeviceClass,heap-buffer-overflow,1,1883_cmsgmt.c_494_local_cpp_cwe-125-cursor-lookahead-missing-bytes-check
