Project,Commit,#SA,#SE,#CONCRETE,#u_files,#u_func,#FUZZ,#u_bugs,LLM_tokens_M,Time_h
libxml2,e334a9d,1987,377,16,7,11,10,11,320.7,225.1
libtiff,f324415,1491,71,21,3,14,15,14,39.1,300.9
libpng,747dd02,609,44,29,10,21,0,21,24.0,18.4
binutils,b2bc71a,19140,257,74,34,52,51,52,186.0,160.8
curl,2eebc58,2040,3,0,0,0,0,0,75.1,67.9
OpenSSL,67b5686b,3977,0,0,0,0,0,0,237.7,200.1
FFmpeg,f46e5144,29697,109,78,55,78,54,78,581.2,~1500*
SELinux,ca10fc4,12498,285,62,32,62,41,62,161.6,376.4
SQLite,0f08d958,9171,12,0,0,0,0,0,540.1,910.6
mupdf,21fb0a2b,6775,187,141,61,141,80,141,122.3,103.0
